"species","max_size_tl","diet","position"
"Caranx caballus",62.4,"Fish-cephalopod feeder","Pelagic Reef associated"
"Caranx crysos",70,"Fish-cephalopod feeder","Pelagic Reef associated"
"Caranx hippos",124,"Fish-cephalopod feeder","Pelagic Reef associated"
"Caranx ignobilis",170,"Fish-cephalopod feeder","Pelagic Reef associated"
"Caranx lugubris",100,"Fish-cephalopod feeder","Pelagic Reef associated"
"Caranx melampygus",126.9,"Fish-cephalopod feeder","Pelagic Reef associated"
"Caranx rhonchus",60,"Fish-cephalopod feeder","Pelagic Reef associated"
"Caranx ruber",67,"Fish-cephalopod feeder","Pelagic Reef associated"
"Caranx sexfasciatus",120,"Mobile invertebrate feeder","Pelagic Reef associated"
"Caranx tille",80,"Fish-cephalopod feeder","Pelagic Reef associated"
"Caulolatilus affinis",49.5,"Mobile invertebrate feeder","Benthic Reef associated"
"Centrolabrus exoletus",18,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Centropomus undecimalis",140,"Fish-cephalopod feeder","Bentho-pelagic Reef associated"
"Centropristis striata",66,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Centropyge bicolor",14,"Herbivore-detritivore","Benthic Reef dwelling"
"Centropyge loriculus",15,"Herbivore-detritivore","Benthic Reef dwelling"
"Cephalopholis boenak",30,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Cephalopholis cruentata",42.6,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Cephalopholis fulva",45,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Cephalopholis hemistiktos",35,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Cephalopholis panamensis",31,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Cephalopholis sexmaculata",50,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Cephalopholis taeniops",70,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Cephalopholis urodeta",28,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Cetoscarus bicolor",90,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Chaetodipterus faber",91,"Mobile invertebrate feeder","Pelagic Reef associated"
"Chaetodon auriga",23,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Chaetodon baronessa",16,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Chaetodon citrinellus",13,"Sessile invertebrate feeder","Benthic Reef dwelling"
"Chaetodon larvatus",12,"Sessile invertebrate feeder","Benthic Reef dwelling"
"Chaetodon lunulatus",14,"Sessile invertebrate feeder","Benthic Reef dwelling"
"Chaetodon miliaris",15.4,"Planktivore","Bentho-pelagic Reef dwelling"
"Chaetodon trifascialis",18,"Sessile invertebrate feeder","Benthic Reef dwelling"
"Chaetodon trifasciatus",15,"Sessile invertebrate feeder","Benthic Reef dwelling"
"Cheilinus trilobatus",45,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Cheilinus undulatus",270.2,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Cheilotrema saturnum",45,"Mobile invertebrate feeder","Benthic Reef associated"
"Cheimerius nufar",75,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Chloroscombrus chrysurus",65,"Planktivore","Pelagic Reef associated"
"Chlorurus frontalis",50,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Chlorurus microrhinos",70,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Chlorurus perspicillatus",69.1215,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Chlorurus sordidus",40,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Chlorurus spilurus",40,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Chromis chromis",25,"Planktivore","Bentho-pelagic Reef dwelling"
"Chromis chrysura",18.5,"Planktivore","Bentho-pelagic Reef dwelling"
"Chromis margaritifer",9,"Planktivore","Bentho-pelagic Reef dwelling"
"Chromis ternatensis",10,"Planktivore","Bentho-pelagic Reef dwelling"
"Chromis verater",19.904,"Planktivore","Bentho-pelagic Reef dwelling"
"Chromis viridis",8,"Planktivore","Bentho-pelagic Reef dwelling"
"Chrysiptera biocellata",12.5,"Omnivore","Benthic Reef dwelling"
"Chrysiptera glauca",10,"Omnivore","Benthic Reef dwelling"
"Chrysoblephus cristiceps",75,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Chrysoblephus laticeps",51.2,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Coris julis",33.6,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Cromileptes altivelis",70,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Ctenochaetus striatus",26,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Ctenochaetus strigosus",18.6,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Ctenolabrus rupestris",18,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Cymatoceps nasutus",150,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Dactyloptena orientalis",40,"Mobile invertebrate feeder","Benthic Reef associated"
"Dascyllus albisella",13,"Planktivore","Bentho-pelagic Reef dwelling"
"Dascyllus aruanus",10,"Planktivore","Benthic Reef dwelling"
"Dascyllus reticulatus",9,"Planktivore","Benthic Reef dwelling"
"Decapterus kurroides",45,"Planktivore","Pelagic Reef associated"
"Decapterus macarellus",40.5,"Planktivore","Pelagic Reef associated"
"Decapterus macrosoma",35,"Planktivore","Pelagic Reef associated"
"Decapterus maruadsi",25,"Planktivore","Pelagic Reef associated"
"Decapterus punctatus",33.6,"Planktivore","Pelagic Reef associated"
"Decapterus russelli",45,"Planktivore","Pelagic Reef associated"
"Dendrophysa russelii",29.6,"Mobile invertebrate feeder","Benthic Reef associated"
"Dentex angolensis",37,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Dentex canariensis",122.7,"Fish-cephalopod feeder","Bentho-pelagic Reef associated"
"Dentex dentex",100,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
