"species","max_size_tl","diet","position"
"Naso hexacanthus",79.2,"Planktivore","Bentho-pelagic Reef dwelling"
"Naso lituratus",60,"Herbivore-macroalgae feeder","Bentho-pelagic Reef dwelling"
"Naso tuberosus",65.3,"Herbivore-macroalgae feeder","Bentho-pelagic Reef dwelling"
"Naso unicornis",73.6,"Herbivore-macroalgae feeder","Bentho-pelagic Reef dwelling"
"Naso vlamingii",60,"Planktivore","Bentho-pelagic Reef dwelling"
"Naucrates ductor",70,"Fish-cephalopod feeder","Pelagic Reef associated"
"Nemipterus japonicus",32,"Mobile invertebrate feeder","Benthic Reef associated"
"Nemipterus peronii",32,"Mobile invertebrate feeder","Benthic Reef associated"
"Neoniphon sammara",32,"Planktivore","Bentho-pelagic Reef dwelling"
"Neoscorpis lithophilus",59.8,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Nerophis ophidion",29,"Mobile invertebrate feeder","Benthic Reef associated"
"Notolabrus celidotus",29.3,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Notolabrus fucicola",38,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Oblada melanura",34,"Planktivore","Pelagic Reef dwelling"
"Ocyurus chrysurus",86.3,"Mobile invertebrate feeder","Pelagic Reef dwelling"
"Odax pullus",48.4,"Herbivore-macroalgae feeder","Benthic Reef dwelling"
"Ophichthus zophochir",98,"Fish-cephalopod feeder","Benthic Reef associated"
"Orthopristis ruber",40,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Ostorhinchus cyanosoma",8,"Planktivore","Bentho-pelagic Reef dwelling"
"Ostorhinchus doederleini",12,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Otolithes ruber",90,"Mobile invertebrate feeder","Benthic Reef associated"
"Pachymetopon aeneum",60,"Sessile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Pachymetopon blochii",54,"Omnivore","Bentho-pelagic Reef dwelling"
"Pachymetopon grande",74,"Omnivore","Bentho-pelagic Reef dwelling"
"Pagellus affinis",67,"Omnivore","Bentho-pelagic Reef associated"
"Pagellus bellottii",52.8,"Omnivore","Bentho-pelagic Reef associated"
"Pagellus erythrinus",73.7,"Omnivore","Bentho-pelagic Reef associated"
"Pagrus auratus",120,"Mobile invertebrate feeder","Benthic Reef associated"
"Pagrus caeruleostictus",113.3,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Pagrus major",123.5,"Mobile invertebrate feeder","Benthic Reef associated"
"Pagrus pagrus",91,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Parablennius ruber",14,"Omnivore","Benthic Reef dwelling"
"Paracirrhites arcatus",14,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Parajulis poecilepterus",34,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Paralabrax clathratus",72,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Paralabrax maculatofasciatus",60,"Mobile invertebrate feeder","Benthic Reef associated"
"Paranthias furcifer",40.9,"Planktivore","Pelagic Reef dwelling"
"Parapercis clathrata",24,"Mobile invertebrate feeder","Benthic Reef associated"
"Parapercis colias",45,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Parapercis cylindrica",23,"Mobile invertebrate feeder","Benthic Reef associated"
"Parapercis hexophtalma",29,"Mobile invertebrate feeder","Benthic Reef associated"
"Parapristipoma trilineatum",49.8,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Parastromateus niger",75,"Planktivore","Pelagic Reef associated"
"Parma microlepis",17.8,"Herbivore-detritivore","Benthic Reef dwelling"
"Parupeneus barberinus",60,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Parupeneus chrysopleuron",55,"Mobile invertebrate feeder","Benthic Reef associated"
"Parupeneus forsskali",28,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Parupeneus heptacanthus",36,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Parupeneus macronemus",40,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Parupeneus multifasciatus",35,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Parupeneus porphyreus",51,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Pempheris adspersa",15,"Planktivore","Bentho-pelagic Reef dwelling"
"Pennahia anea",34.3,"Fish-cephalopod feeder","Benthic Reef associated"
"Phyllopteryx taeniolatus",46,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Plectorhinchus gibbosus",75,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Plectorhinchus lineatus",72,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Plectorhinchus mediterraneus",92.7,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Plectorhinchus pictus",83,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Plectorhinchus picus",84,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Plectorhinchus sordidus",60,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Plectroglyphidodon dickii",11,"Omnivore","Benthic Reef dwelling"
"Plectropomus areolatus",80,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Plectropomus laevis",125,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Plectropomus leopardus",149.4,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Plectropomus maculatus",119.9,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Polysteganus undulosus",120,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Pomacanthus maculosus",60.7,"Omnivore","Bentho-pelagic Reef dwelling"
"Pomacanthus paru",41.1,"Omnivore","Bentho-pelagic Reef dwelling"
"Pomacanthus sexstriatus",46,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Pomacentrus moluccensis",9,"Omnivore","Benthic Reef dwelling"
"Pomacentrus wardi",9.9,"Herbivore-detritivore","Benthic Reef dwelling"
"Pomadasys argyreus",40,"Mobile invertebrate feeder","Benthic Reef associated"
"Pomadasys commersonnii",80,"Mobile invertebrate feeder","Benthic Reef associated"
"Pomadasys incisus",50,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Pomadasys jubelini",60,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Pomadasys maculatus",59.3,"Mobile invertebrate feeder","Benthic Reef associated"
"Pomadasys striatus",22,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Priacanthus arenatus",50,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Priacanthus hamrur",45,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Priacanthus macracanthus",34.2,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Priacanthus tayenus",35,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Pristotis obtusirostris",14,"Planktivore","Bentho-pelagic Reef dwelling"
"Pronotogrammus martinicensis",20,"Planktivore","Bentho-pelagic Reef dwelling"
"Pseudanthias squamipinnis",15,"Planktivore","Bentho-pelagic Reef dwelling"
"Pseudobalistes flavimarginatus",60,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Pseudocaranx dentex",122,"Fish-cephalopod feeder","Bentho-pelagic Reef associated"
"Pseudochromis fuscus",10,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Pseudotolithus senegalensis",114,"Fish-cephalopod feeder","Benthic Reef associated"
"Pseudupeneus maculatus",30,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Pseudupeneus prayensis",63.7,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Pterapogon kauderni",8,"Planktivore","Bentho-pelagic Reef associated"
"Pterocaesio pisang",21,"Planktivore","Pelagic Reef dwelling"
"Rachycentron canadum",200,"Fish-cephalopod feeder","Pelagic Reef associated"
"Rastrelliger kanagurta",37.2,"Planktivore","Pelagic Reef associated"
"Rhabdamia gracilis",6,"Planktivore","Bentho-pelagic Reef dwelling"
"Rhabdosargus sarba",80,"Mobile invertebrate feeder","Benthic Reef associated"
"Rhinecanthus aculeatus",30,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Rhomboplites aurorubens",60,"Mobile invertebrate feeder","Pelagic Reef associated"
"Roncador stearnsii",70,"Mobile invertebrate feeder","Benthic Reef associated"
"Rudarius ercodes",7.5,"Mobile invertebrate feeder","Benthic Reef associated"
"Salarias patzneri",7,"Herbivore-detritivore","Benthic Reef dwelling"
"Sarda sarda",98.5,"Fish-cephalopod feeder","Pelagic Reef associated"
"Sargocentron diadema",17,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Sargocentron microstoma",20,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Sarpa salpa",59.5,"Herbivore-detritivore","Pelagic Reef associated"
"Scarus altipinnis",60,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus chameleon",31,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus coeruleus",100,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus ferrugineus",41,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus forsteni",55,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus frenatus",47,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus ghobban",90,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus guacamaia",120,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus iseri",35,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus niger",40,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus psittacus",30,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus rivulatus",46,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus rubroviolaceus",70,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus scaber",37,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus schlegeli",40,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Scarus vetula",61,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Sciaena umbra",70,"Mobile invertebrate feeder","Benthic Reef associated"
"Scolopsis lineata",23,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Scolopsis taeniata",36,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Scolopsis taenioptera",39.1,"Mobile invertebrate feeder","Benthic Reef associated"
"Scomberoides lysan",110,"Fish-cephalopod feeder","Pelagic Reef associated"
"Scomberomorus brasiliensis",139.1,"Fish-cephalopod feeder","Pelagic Reef associated"
"Scomberomorus cavalla",170,"Fish-cephalopod feeder","Pelagic Reef associated"
"Scomberomorus commerson",258.7,"Fish-cephalopod feeder","Pelagic Reef associated"
"Scomberomorus guttatus",85.5,"Fish-cephalopod feeder","Pelagic Reef associated"
"Scomberomorus maculatus",101.2,"Fish-cephalopod feeder","Pelagic Reef associated"
"Scomberomorus regalis",183,"Fish-cephalopod feeder","Pelagic Reef associated"
"Scomberomorus semifasciatus",140,"Fish-cephalopod feeder","Pelagic Reef associated"
"Scorpaena cardinalis",41,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Scorpaena guttata",43,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Scorpaena loppei",15,"Mobile invertebrate feeder","Benthic Reef associated"
"Scorpaena maderensis",14,"Fish-cephalopod feeder","Benthic Reef associated"
"Scorpaena notata",24,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Scorpaena porcus",37,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Scorpaena scrofa",50,"Fish-cephalopod feeder","Benthic Reef associated"
"Scorpis aequipinnis",40,"Planktivore","Pelagic Reef associated"
"Scorpis lineolata",30,"Planktivore","Pelagic Reef dwelling"
"Sebastes caurinus",58,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Sebastes constellatus",46,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Sebastes emphaeus",18,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Sebastes goodei",56,"Planktivore","Bentho-pelagic Reef associated"
"Sebastes hopkinsi",29,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Sebastes inermis",35,"Planktivore","Pelagic Reef dwelling"
"Sebastes melanops",63,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Sebastes mystinus",61,"Planktivore","Bentho-pelagic Reef dwelling"
"Sebastes paucispinis",91,"Fish-cephalopod feeder","Bentho-pelagic Reef associated"
"Sebastes serranoides",61,"Fish-cephalopod feeder","Pelagic Reef dwelling"
"Sebastes steindachneri",37,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Sebastes taczanowskii",32,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Sebastiscus marmoratus",30,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Selar boops",28.2,"Planktivore","Pelagic Reef associated"
"Selar crumenophthalmus",30,"Planktivore","Pelagic Reef associated"
"Selaroides leptolepis",22,"Fish-cephalopod feeder","Pelagic Reef associated"
"Semicossyphus pulcher",91,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Seriola dumerili",190,"Fish-cephalopod feeder","Pelagic Reef associated"
"Seriola lalandi",200,"Fish-cephalopod feeder","Pelagic Reef associated"
"Seriola quinqueradiata",150,"Fish-cephalopod feeder","Pelagic Reef associated"
"Serranus atricauda",43.2,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Serranus cabrilla",47,"Fish-cephalopod feeder","Benthic Reef associated"
"Serranus hepatus",25,"Mobile invertebrate feeder","Benthic Reef associated"
"Serranus scriba",45,"Mobile invertebrate feeder","Benthic Reef associated"
"Serranus subligarius",10,"Mobile invertebrate feeder","Benthic Reef associated"
"Siganus argenteus",40,"Herbivore-macroalgae feeder","Bentho-pelagic Reef dwelling"
"Siganus canaliculatus",30,"Herbivore-macroalgae feeder","Benthic Reef associated"
"Siganus fuscescens",40,"Herbivore-macroalgae feeder","Benthic Reef associated"
"Siganus lineatus",43,"Herbivore-macroalgae feeder","Benthic Reef dwelling"
"Siganus luridus",30,"Herbivore-macroalgae feeder","Benthic Reef dwelling"
"Siganus rivulatus",27,"Herbivore-macroalgae feeder","Benthic Reef dwelling"
"Siganus sutor",54.4,"Herbivore-macroalgae feeder","Benthic Reef dwelling"
"Siganus vermiculatus",45,"Herbivore-macroalgae feeder","Benthic Reef dwelling"
"Sparisoma atomarium",25,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Sparisoma aurofrenatum",28,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Sparisoma chrysopterum",46,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Sparisoma cretense",50,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Sparisoma frondosum",50,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Sparisoma rubripinne",47.8,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Sparisoma strigatum",58.2,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Sparisoma viride",64,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Sparodon durbanensis",120,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Sparus aurata",70,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Sphoeroides testudineus",30,"Sessile invertebrate feeder","Bentho-pelagic Reef associated"
"Sphyraena barracuda",200,"Fish-cephalopod feeder","Pelagic Reef associated"
"Sphyraena flavicauda",60,"Fish-cephalopod feeder","Pelagic Reef dwelling"
"Sphyraena jello",150,"Fish-cephalopod feeder","Pelagic Reef associated"
"Sphyraena obtusata",55,"Fish-cephalopod feeder","Pelagic Reef associated"
"Sphyraena pinguis",50,"Fish-cephalopod feeder","Pelagic Reef associated"
"Sphyraena putnamae",90,"Fish-cephalopod feeder","Pelagic Reef associated"
"Sphyraena sphyraena",165,"Fish-cephalopod feeder","Pelagic Reef associated"
"Sphyraena viridensis",71.4,"Fish-cephalopod feeder","Pelagic Reef associated"
"Spondyliosoma cantharus",71.4,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Stegastes acapulcoensis",17,"Omnivore","Benthic Reef dwelling"
"Stegastes arcifrons",16.35387,"Omnivore","Benthic Reef dwelling"
"Stegastes beebei",18.61695,"Omnivore","Benthic Reef dwelling"
"Stegastes flavilatus",12.3434,"Omnivore","Benthic Reef dwelling"
"Stegastes fuscus",16,"Herbivore-detritivore","Benthic Reef dwelling"
"Stegastes nigricans",14,"Herbivore-detritivore","Benthic Reef dwelling"
"Stegastes planifrons",13,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Stegastes rectifraenum",13.5,"Omnivore","Benthic Reef dwelling"
"Stephanolepis hispidus",27.5,"Omnivore","Bentho-pelagic Reef dwelling"
"Stethojulis albovittata",14,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Stethojulis trilineata",15,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Symphodus cinereus",16,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Symphodus mediterraneus",21.8,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Symphodus melops",33.5,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Symphodus ocellatus",14.1,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Symphodus roissali",22.6,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Symphodus rostratus",18.4,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Symphodus tinca",52.5,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Symphorus nematophorus",118.8,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Syngnathoides biaculeatus",29,"Mobile invertebrate feeder","Benthic Reef associated"
"Syngnathus typhle",35,"Mobile invertebrate feeder","Benthic Reef associated"
"Synodus myops",40,"Fish-cephalopod feeder","Benthic Reef associated"
"Synodus variegatus",40,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Tautoga onitis",91,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Tautogolabrus adspersus",38,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Thalassoma hardwicke",20,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Trachinotus falcatus",147.5,"Mobile invertebrate feeder","Pelagic Reef associated"
"Trachinotus marginatus",45,"Mobile invertebrate feeder","Pelagic Reef associated"
"Trachurus capensis",65.9,"Planktivore","Pelagic Reef associated"
"Trachurus declivis",73,"Planktivore","Pelagic Reef associated"
"Trachurus indicus",35,"Planktivore","Pelagic Reef associated"
"Trachurus japonicus",50,"Planktivore","Pelagic Reef associated"
"Trachurus lathami",40,"Planktivore","Pelagic Reef associated"
"Trachurus mediterraneus",68.6,"Planktivore","Pelagic Reef associated"
"Trachurus murphyi",70,"Planktivore","Pelagic Reef associated"
"Trachurus novaezelandiae",58.3,"Planktivore","Pelagic Reef associated"
"Trachurus picturatus",60,"Planktivore","Pelagic Reef associated"
"Trachurus symmetricus",81,"Planktivore","Pelagic Reef associated"
"Trachurus trachurus",70,"Planktivore","Pelagic Reef associated"
"Trachurus trecae",39.4,"Planktivore","Pelagic Reef associated"
"Trimma benjamini",2.8,"Planktivore","Benthic Reef dwelling"
"Trimma nasa",2.3,"Planktivore","Bentho-pelagic Reef dwelling"
"Triso dermopterus",68,"Fish-cephalopod feeder","Benthic Reef associated"
"Umbrina cirrosa",73,"Mobile invertebrate feeder","Benthic Reef associated"
"Umbrina ronchus",100,"Mobile invertebrate feeder","Benthic Reef associated"
"Upeneus japonicus",20,"Mobile invertebrate feeder","Benthic Reef associated"
"Upeneus moluccensis",20,"Mobile invertebrate feeder","Benthic Reef associated"
"Upeneus sulphureus",23,"Mobile invertebrate feeder","Benthic Reef associated"
"Upeneus taeniopterus",33,"Mobile invertebrate feeder","Benthic Reef associated"
"Upeneus vittatus",28,"Mobile invertebrate feeder","Benthic Reef associated"
"Uraspis helvola",58,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Valamugil buchanani",100,"Herbivore-detritivore","Pelagic Reef associated"
"Valenciennea muralis",11.6,"Herbivore-detritivore","Benthic Reef associated"
"Variola louti",83,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Xiphocheilus typus",14.8,"Mobile invertebrate feeder","Benthic Reef associated"
"Xyrichtys novacula",38,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Zebrasoma flavescens",20,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Zebrasoma scopas",23.3,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Zebrasoma velifer",47.6,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Acanthurus leucosternon",54,"HerDet","BtPlDw"
"Acanthurus lineatus",38,"HerDet","BtPlDw"
"Acanthurus nigrofuscus",21,"HerDet","BtPlDw"
"Acanthurus tennentii",31,"HerDet","BtPlDw"
"Acanthurus triostegus",27,"HerDet","BtPlDw"
"Aethaloperca rogaa",60,"FisCep","BnthDw"
"Amblyglyphidodon leucogaster",13,"Plktiv","BtPlDw"
"Anampses meleagrides",22,"InvMob","BnthDw"
"Anyperodon leucogrammicus",65,"FisCep","BnthDw"
"Apolemichthys trimaculatus",26,"InvSes","BnthDw"
"Aprion virescens",112,"FisCep","PelgAs"
"Bodianus axillaris",20,"InvMob","BtPlDw"
"Calotomus carolinus",54,"HerDet","BtPlDw"
"Cantherhines pardalis",25,"Omnivr","BnthDw"
"Centropyge multispinis",14,"InvSes","BnthDw"
"Cephalopholis argus",60,"FisCep","BnthDw"
"Cephalopholis leopardus",24,"FisCep","BnthDw"
"Cephalopholis miniata",50,"FisCep","BnthDw"
"Cephalopholis urodeta",28,"FisCep","BnthDw"
"Cetoscarus bicolor",90,"HerDet","BtPlDw"
"Chaetodon auriga",23,"InvMob","BnthDw"
"Chaetodon guttatissimus",12,"Omnivr","BnthDw"
"Chaetodon kleinii",15,"InvSes","BnthDw"
"Chaetodon lineolatus",30,"InvSes","BtPlDw"
"Chaetodon lunula",20,"Omnivr","BtPlDw"
"Chaetodon melannotus",18,"InvSes","BnthDw"
"Chaetodon meyeri",20,"InvSes","BnthDw"
"Chaetodon trifascialis",18,"InvSes","BnthDw"
"Chaetodon trifasciatus",15,"InvSes","BnthDw"
"Chaetodon xanthocephalus",20,"Omnivr","BnthDw"
"Chaetodon zanzibarensis",12,"InvSes","BnthDw"
"Cheilinus fasciatus",52,"InvMob","BtPlDw"
"Cheilinus trilobatus",45,"InvMob","BtPlDw"
"Chlorurus atrilunula",30,"HerDet","BtPlDw"
"Chlorurus sordidus",40,"HerDet","BtPlDw"
"Chlorurus strongylocephalus",70,"HerDet","BtPlDw"
"Chromis atripectoralis",12,"Plktiv","BtPlDw"
"Chromis ternatensis",10.5,"Plktiv","BtPlDw"
"Chromis weberi",13.5,"Plktiv","BtPlDw"
"Coris formosa",60,"InvMob","BtPlDw"
"Ctenochaetus binotatus",22,"HerDet","BtPlDw"
"Ctenochaetus striatus",26,"HerDet","BtPlDw"
"Ctenochaetus truncatus",20,"HerDet","BtPlDw"
"Dascyllus trimaculatus",14,"Plktiv","BtPlDw"
"Diagramma pictum",100,"InvMob","BtPlDw"
"Epibulus insidiator",71,"FisCep","BnthDw"
"Epinephelus coeruleopunctatus",76,"FisCep","BnthDw"
"Epinephelus fasciatus",40,"InvMob","BnthAs"
"Epinephelus hexagonatus",27.5,"FisCep","BnthDw"
"Epinephelus merra",32,"InvMob","BnthDw"
"Epinephelus spilotoceps",35,"FisCep","BnthAs"
"Epinephelus tukula",200,"FisCep","BnthDw"
"Gomphosus caeruleus",32,"InvMob","BtPlDw"
"Halichoeres cosmetus",13,"InvMob","BtPlDw"
"Halichoeres hortulanus",27,"InvMob","BtPlDw"
"Halichoeres marginatus",18,"InvMob","BtPlDw"
"Halichoeres scapularis",20,"InvMob","BtPlDw"
"Hemigymnus fasciatus",80,"InvMob","BtPlDw"
"Hemigymnus melapterus",60,"InvMob","BtPlDw"
"Hipposcarus harid",75,"HerDet","BtPlDw"
"Labrichthys unilineatus",17.5,"InvSes","BnthDw"
"Labroides bicolor",15,"InvMob","BtPlDw"
"Labroides dimidiatus",14,"InvMob","BnthDw"
"Leptoscarus vaigiensis",35,"HerMac","BnthAs"
"Lethrinus enigmaticus",55,"InvMob","BnthDw"
"Lethrinus harak",50,"InvMob","BnthAs"
"Lethrinus lentjan",52,"InvMob","BnthAs"
"Lethrinus mahsena",65,"InvMob","BnthDw"
"Lethrinus nebulosus",87,"InvMob","BtPlAs"
"Lethrinus obsoletus",60,"InvMob","BtPlAs"
"Lethrinus olivaceus",100,"FisCep","BtPlDw"
"Lethrinus rubrioperculatus",50,"InvMob","BnthDw"
"Lutjanus argentimaculatus",150,"FisCep","BtPlAs"
"Lutjanus bohar",90,"FisCep","BtPlDw"
"Lutjanus fulviflamma",35,"InvMob","BtPlDw"
"Lutjanus gibbus",50,"InvMob","BtPlDw"
"Lutjanus kasmira",40,"InvMob","BtPlDw"
"Lutjanus monostigma",60,"FisCep","BtPlDw"
"Lutjanus rivulatus",80,"FisCep","BtPlAs"
"Macolor niger",75,"FisCep","PelgAs"
"Macropharyngodon bipartitus",13,"InvMob","BnthAs"
"Monotaxis grandoculis",60,"InvMob","BtPlDw"
"Mulloidichthys flavolineatus",43,"InvMob","BtPlDw"
"Naso elegans",50,"HerMac","BnthAs"
"Neoglyphidodon melas",18,"Omnivr","BtPlDw"
"Novaculichthys taeniourus",30,"InvMob","BtPlAs"
"Oxycheilinus digramma",50,"FisCep","BtPlDw"
"Oxymonacanthus longirostris",12,"InvSes","BnthDw"
"Paracanthurus hepatus",31,"Plktiv","BtPlDw"
"Parupeneus barberinus",60,"InvMob","BnthDw"
"Parupeneus ciliatus",38,"InvMob","BnthDw"
"Parupeneus cyclostomus",50,"FisCep","BnthDw"
"Parupeneus macronemus",40,"InvMob","BnthDw"
"Parupeneus rubescens",43,"InvMob","BnthDw"
"Parupeneus trifasciatus",35,"InvMob","BnthDw"
"Plectorhinchus gibbosus",75,"InvMob","BtPlAs"
"Plectorhinchus orientalis",81,"InvMob","BtPlDw"
"Plectorhinchus schotaf",80,"InvMob","BtPlAs"
"Plectroglyphidodon dickii",11,"Omnivr","BnthDw"
"Plectroglyphidodon johnstonianus",14,"Omnivr","BnthDw"
"Plectroglyphidodon lacrymatus",10,"Omnivr","BnthDw"
"Pomacanthus imperator",50,"InvSes","BtPlDw"
"Pomacanthus semicirculatus",49,"Omnivr","BtPlAs"
"Pomacentrus trilineatus",10,"HerDet","BtPlDw"
"Scarus caudofasciatus",50,"HerDet","BtPlDw"
"Scarus falcipinnis",60,"HerDet","BtPlDw"
"Scarus frenatus",47,"HerDet","BtPlDw"
"Scarus ghobban",75,"HerDet","BtPlDw"
"Scarus globiceps",45,"HerDet","BtPlDw"
"Scarus niger",40,"HerDet","BtPlDw"
"Scarus prasiognathos",70,"HerDet","BtPlDw"
"Scarus psittacus",34,"HerDet","BtPlDw"
"Scarus rubroviolaceus",70,"HerDet","BtPlDw"
"Scarus scaber",37,"HerDet","BtPlDw"
"Scarus tricolor",37,"HerDet","BtPlDw"
"Scarus viridifucatus",45,"HerDet","BtPlDw"
"Scolopsis frenatus",26,"InvMob","BtPlAs"
"Siganus argenteus",40,"HerMac","BtPlDw"
"Siganus puelloides",31,"Omnivr","BnthDw"
"Siganus stellatus",40,"HerDet","BnthDw"
"Siganus sutor",50,"HerMac","BnthDw"
"Stegastes nigricans",14,"Omnivr","BnthDw"
"Stethojulis albovittata",14,"InvMob","BnthDw"
"Sufflamen chrysopterum",30,"InvMob","BnthDw"
"Thalassoma hardwicke",20,"InvMob","BnthDw"
"Thalassoma hebraicum",23,"InvMob","BnthDw"
"Thalassoma lunare",25,"InvMob","BnthDw"
"Zanclus cornutus",23,"InvSes","BnthDw"
"Zebrasoma desjardinii",40,"HerDet","BtPlDw"
