"species"
"Zebrasoma veliferum"
"Chaetodon capistratus"
"Kyphosus sectatrix"
"Haemulon carbonarium"
"Calamus"
"Haemulon chrysargyreum"
"Calamus bajonado"
"Gerreidae"
"Chaetodon ocellatus"
"Lactophrys bicaudalis"
"Halichoeres garnoti"
"Aulostomus maculatus"
"Anisotremus virginicus"
"Scomberomorus"
"Crenimugil crenilabis"
"Acanthurus bariene"
"Halichoeres pardaleocephalus"
"Pomacanthus chrysurus"
"Chaetodon oxycephalus"
"Chaetodontoplus vanderloosi"
"Platax teira"
"Chaetodon"
"Forcipiger"
"Gymnothorax javanicus"
"Acanthurus fowleri"
"Caesio"
"Caesio teres"
"Chaetodon fasciatus"
"Aeoliscus strigatus"
"Canthigaster bennetti"
"Amblyeleotris fasciata"
"Parapercis multiplicata"
"Chaetodontoplus dimidiatus"
"Acanthurus nubilus"
"Scarus quoyi"
"Pentapodus porosus"
"Gnathodentex aureolineatus"
"Acanthurus thompsoni"
"Halichoeres ornatissimus"
"Halichoeres biocellatus"
"Stethojulis bandanensis"
"Melichthys vidua"
"Forcipiger flavissimus"
"Anampses twistii"
"Sphyrna mokarran"
"Hemitaurichthys polylepis"
"Acanthurus guttatus"
"Choerodon jordani"
"Calotomus"
"Bodianus anthioides"
"Ctenochaetus cyanocheilus"
"Rhinecanthus rectangulus"
"Macropharyngodon meleagris"
"Naso thynnoides"
"Gracila albomarginata"
"Siganus punctatissimus"
"Alectis ciliaris"
"Pterocaesio lativittata"
"Hologymnosus annulatus"
"Acanthurus leucocheilus"
"Paracentropyge multifasciata"
"Naso reticulatus"
"Scolopsis ciliata"
"Chaetodon gardineri"
"Sphyraena qenie"
"Epinephelus flavocaeruleus"
"Bodianus"
"Acanthaluteres vittiger"
"Pseudanthias flavoguttatus"
"Lutjanus"
"Plectropomus"
"Pomacanthus"
"Labropsis australis"
"Balistidae"
"Chaetodontidae"
"Holocentridae"
"Lethrinidae"
"Mullidae"
"Pinguipedidae"
"Pomacentridae"
"Others CRCP"
"Haemulidae"
"Aulostomidae"
"Carangidae"
"Pempheridae"
"Muraenidae"
"Chaetodon ornatissimus"
"Carangoides fulvoguttatus"
"Scolopsis margaritifera"
"Diploprion bifasciatum"
"Lethrinus erythropterus"
"Siganus vulpinus"
"Siganus puellus"
"Pomacanthus xanthometopon"
"Cephalopholis cyanostigma"
"Pomacanthus navarchus"
"Scatophagus argus"
"Centropyge vrolikii"
"Aluterus scriptus"
"Amphiprion polymnus"
"Halichoeres chloropterus"
"Halichoeres leucurus"
"Amphiprion percula"
"Scarus flavipectoralis"
"Odonus niger"
"Oxycheilinus celebicus"
"Scarus persicus"
"Centropyge nox"
"Gymnocranius microdon"
"Thalassoma bifasciatum"
"Serranus tigrinus"
"Hypoplectrus nigricans"
"Canthidermis sufflamen"
"Abudefduf saxatilis"
"Halichoeres bivittatus"
"Cantherhines macrocerus"
"Clepticus parrae"
"Halichoeres maculipinna"
"Haemulon"
"Hypoplectrus puella"
"Calamus calamus"
"Acanthostracion quadricornis"
"Malacanthus plumieri"
"Ginglymostoma cirratum"
"Dasyatidae"
"Sphoeroides spengleri"
"Lactophrys triqueter"
"Hemiramphus far"
"Parupeneus spilurus"
"Choerodon anchorago"
"Acanthurus nigroris"
"Halichoeres"
"Epinephelus fasciatomaculosus"
"Chaetodon semeion"
"Pentapodus aureofasciatus"
"Chelmon rostratus"
"Pentapodus trivittatus"
"Chaetodontoplus mesoleucus"
"Chrysiptera cymatilis"
"Chrysiptera flavipinnis"
"Hemiglyphidodon plagiometopon"
"Neopomacentrus cyanomos"
"Pomacentrus albimaculus"
"Pomacentrus burroughi"
"Pomacentrus lepidogenys"
"Chaetodon mesoleucos"
"Chaetodon octofasciatus"
"Cephalopholis microprion"
"Plectropomus oligacanthus"
"Choerodon melanostigma"
"Chromis amboinensis"
"Chromis atripes"
"Chromis retrofasciata"
"Chromis xanthura"
"Chrysiptera talboti"
"Pomacentrus amboinensis"
"Pomacentrus brachialis"
"Chaetodon punctatofasciatus"
"Pomacentrus bankanensis"
"Pomacentrus philippinus"
"Chromis lineata"
"Neoglyphidodon nigroris"
"Neoniphon opercularis"
"Chromis alpha"
"Pomacentrus nigromanus"
"Pomacentrus coelestis"
"Labroides pectoralis"
"Dischistodus melanotus"
"Neoniphon argenteus"
"Oxycheilinus"
"Pseudodax moluccanus"
"Siganus corallinus"
"Pomacentrus reidi"
"Anampses melanurus"
"Pomachromis guamensis"
"Lethrinus laticaudis"
"Echeneis naucrates"
"Chanos chanos"
"Belonoperca chabanaudi"
"Pseudanthias tuka"
"Platax boersii"
"Arothron mappa"
"Stethojulis notialis"
"Halichoeres chrysus"
"Caesio varilineata"
"Coris dorsomacula"
"Tylosurus crocodilus"
"Gerres longirostris"
"Pseudanthias huchtii"
"Halichoeres nigrescens"
"Upeneus tragula"
"Lutjanus russellii"
"Acanthurus albipectoralis"
"Diodon liturosus"
"Kyphosus bigibbus"
"Plectorhinchus lessonii"
"Amanses scopas"
