"species"
"Zebrasoma veliferum"
"Meiacanthus oualanensis"
"Chaetodon speculum"
"Heniochus chrysostomus"
"Cheilinus chlorourus"
"Scolopsis bilineata"
"Chlorurus bleekeri"
"Chaetodon ephippium"
"Scarus dimidiatus"
"Heniochus varius"
"Chaetodon ulietensis"
"Heniochus acuminatus"
"Gomphosus varius"
"Siganus guttatus"
"Chaetodon vagabundus"
"Parupeneus indicus"
"Siganus doliatus"
"Siganus uspi"
"Cetoscarus ocellatus"
"Chaetodon rafflesii"
"Chaetodon bennetti"
"Lutjanus fulvus"
"Pterocaesio tile"
"Pterois volitans"
"Lutjanus semicinctus"
"Chlorurus bowersi"
"Halichoeres margaritaceus"
"Halichoeres richmondi"
"Carangoides plagiotaenia"
"Caranx papuensis"
"Amblyglyphidodon aureus"
"Heniochus singularius"
"Chaetodon unimaculatus"
"Bodianus mesothorax"
"Thalassoma jansenii"
"Scarus oviceps"
"Balistoides conspicillum"
"Chaetodon pelewensis"
"Chaetodon reticulatus"
"Thalassoma lutescens"
"Macolor macularis"
"Chlorurus japanensis"
"Scarus spinus"
"Triaenodon obesus"
"Forcipiger longirostris"
"Centropyge flavissima"
"Plectorhinchus vittatus"
"Pterocaesio trilineata"
"Naso tonganus"
"Coris aygula"
"Myripristis adusta"
"Halichoeres prosopeion"
"Parupeneus barberinoides"
"Centropyge bispinosa"
"Chaetodon mertensii"
"Parupeneus crassilabris"
"Acanthurus japonicus"
"Sargocentron caudimaculatum"
"Anampses neoguinaicus"
"Bodianus loxozonus"
"Aulostomus chinensis"
"Cirrhilabrus punctatus"
"Oxycheilinus orientalis"
"Oxycheilinus unifasciatus"
"Ctenochaetus"
"Coris gaimard"
"Scolopsis temporalis"
"Sufflamen bursa"
"Halichoeres trimaculatus"
"Parupeneus pleurostigma"
"Scolopsis trilineata"
"Lutjanus biguttatus"
"Chaetodon ocellicaudus"
"Chaetodon plebeius"
"Neopomacentrus bankieri"
"Siganus spinus"
"Acanthurus grammoptilus"
"Acanthurus maculiceps"
"Chaetodon striatus"
"Ellochelon vaigiensis"
"Chaetodon quadrimaculatus"
"Myripristis kuntee"
"Caesio lunaris"
"Ctenochaetus tominiensis"
"Plectorhinchus chaetodonoides"
"Hologymnosus doliatus"
"Naso caesius"
"Carcharhinus amblyrhynchos"
"Pterocaesio marri"
"Myripristis berndti"
"Kyphosus vaigiensis"
"Caesio caerulaurea"
"Herklotsichthys quadrimaculatus"
"Amblyglyphidodon curacao"
"Plectorhinchus albovittatus"
"Bodianus diana"
"Aprion"
"Halichoeres argus"
"Siganus punctatus"
"Cheilio inermis"
"Aetobatus narinari"
"Halichoeres melanurus"
"Nebrius ferrugineus"
"Pervagor melanocephalus"
"Acanthuridae"
"Caesioinidae"
"Labridae"
"Lutjanidae"
"Pomacanthidae"
"Scaridae"
"Scorpaenidae"
"Siganidae"
"Plectorhinchus"
"Serranidae"
"Engraulidae"
"Bodianus rufus"
"Microspathodon chrysurus"
"Scarus taeniopterus"
"Holacanthus ciliaris"
"Holocentrus"
"Cantherhines pullus"
"Prognathodes aculeatus"
"Pomacanthus arcuatus"
"Haemulon macrostomum"
"Holacanthus tricolor"
