"nutrient","nutrient_lab","country","site","year","reef_type","reef_zone","management_rules","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"iron.mg","Iron","Solomon Islands","P12",2018,"barrier","fore reef","restriction",1.32729359458157,-0.823314639343216,-0.319855436918737,-0.62504982781056,0.289427281763908,0.113984673029293,-0.453885826491151,0.547620531818867,-0.476253877725704,0.778157513730052,0.106997410169508,0.00266976559195106,0.0372067732131825,0.275321954456877,0.200867005300765,0.376937091267717
"iron.mg","Iron","Solomon Islands","P12",2018,"barrier","fore reef","restriction",1.32729359458157,-0.823314639343216,-0.319855436918737,-0.62504982781056,0.289427281763908,0.113984673029293,-0.453885826491151,0.547620531818867,-0.476253877725704,0.778157510914122,0.106997410169508,0.00266976559195106,0.0372067732131825,0.275321954456877,0.200867005300765,0.376937091267717
"iron.mg","Iron","Solomon Islands","P12",2019,"barrier","fore reef","restriction",0.671968240379381,-0.534071284089393,-0.155759488549682,-0.62504982781056,0.403235964766191,0.285972759275091,-0.453885826491151,0.547620531818867,-0.476253877725704,0.778157513730052,0.0922353872555946,0.00320324541674373,0.0432037886118274,0.00484124323183487,0.0361388681533231,0.820377467330676
"iron.mg","Iron","Solomon Islands","P12",2019,"barrier","fore reef","restriction",0.671968240379381,-0.534071284089393,-0.155759488549682,-0.62504982781056,0.403235964766191,0.285972759275091,-0.453885826491151,0.547620531818867,-0.476253877725704,0.778157510914122,0.0922353872555946,0.00320324541674373,0.0432037886118274,0.00484124323183487,0.0361388681533231,0.820377467330676
"iron.mg","Iron","Solomon Islands","P13",2019,"barrier","fore reef","restriction",0.446565798962133,-0.390315604532104,-0.482968774818517,-0.62504982781056,-0.531014418088371,0.485850805452639,-0.44155578903304,-0.0819877092110166,-0.476253877725704,0.383641657825833,0.133540533265418,0.0016982843136912,0.0281359270798734,0.0342398126320185,0.0206190539665217,0.781766388742478
"iron.mg","Iron","Solomon Islands","P15",2019,"barrier","fore reef","restriction",0.937906270716352,-0.390315604532104,0.335545746088209,-0.62504982781056,-0.75778246556307,0.671783871664312,-0.452685763029726,-0.609706552636882,-0.476253877725704,0.358853614272809,0.543728609755188,0.00481697120928759,0.111569500260621,0.150586721477502,0.0495876114450119,0.13971058585239
"iron.mg","Iron","Solomon Islands","P17",2019,"barrier","fore reef","restriction",1.53181406594926,-0.534071284089393,-0.0574984416221037,-0.62504982781056,-0.75778246556307,0.318511045862133,-0.460812364574013,-0.269759152237185,-0.476253877725704,0.553003156919952,0.387070228342292,0.205432795776661,0.115088614123901,0.116484882407472,0.121722381961154,0.0542010973885189
"iron.mg","Iron","Solomon Islands","P4",2018,"barrier","fore reef","restriction",-0.310712703129055,-0.851892575640749,0.269710844646731,-0.584986077933192,0.0635085528190776,0.969276777602988,-0.44155578903304,-0.0819877092110166,-0.476253877725704,0.383641633448243,0.318254747238053,0.00114032330877003,0.0498377763642263,0.017796383818194,0.0211292088646175,0.591841560406139
"iron.mg","Iron","Solomon Islands","P4",2018,"barrier","fore reef","restriction",-0.310712703129055,-0.851892575640749,0.269710844646731,-0.584986077933192,0.0635085528190776,0.969276777602988,-0.44155578903304,-0.0819877092110166,-0.476253877725704,0.383641648373298,0.318254747238053,0.00114032330877003,0.0498377763642263,0.017796383818194,0.0211292088646175,0.591841560406139
"iron.mg","Iron","Solomon Islands","P4",2019,"barrier","fore reef","restriction",0.160359974165302,-0.765292768678527,0.303119600602108,-0.62504982781056,-0.361150712114814,0.100039693063418,-0.44155578903304,-0.0819877092110166,-0.476253877725704,0.383641633448243,0.41040531384532,0.00978409173656945,0.0979185328787401,0.0833197307897531,0.0417373923409711,0.356834938408646
"iron.mg","Iron","Solomon Islands","P4",2019,"barrier","fore reef","restriction",0.160359974165302,-0.765292768678527,0.303119600602108,-0.62504982781056,-0.361150712114814,0.100039693063418,-0.44155578903304,-0.0819877092110166,-0.476253877725704,0.383641648373298,0.41040531384532,0.00978409173656945,0.0979185328787401,0.0833197307897531,0.0417373923409711,0.356834938408646
"iron.mg","Iron","Solomon Islands","P6",2019,"barrier","fore reef","restriction",1.73633453731696,-0.909914446305438,0.466232938501887,-0.62504982781056,-0.191287006141258,0.392884272346802,-0.44155578903304,-0.0819877092110166,-0.476253877725704,0.383641655835826,0.400968800210924,0.0818513211145235,0.104320568408419,0.0272128167913187,0.0789465480642625,0.306699945410552
"iron.mg","Iron","Solomon Islands","P7",2018,"barrier","fore reef","restriction",0.549133122440827,-0.909914446305438,0.630328886870943,-0.62504982781056,0.00660421131793611,0.0535564265104996,-0.44155578903304,-0.0819877092110166,-0.476253877725704,0.383641649865804,0.525882758953554,0.042008185460829,0.206983224075967,0.0906230932311561,0.124335381520233,0.0101673567582614
"iron.mg","Iron","Solomon Islands","P7",2018,"barrier","fore reef","restriction",0.549133122440827,-0.909914446305438,0.630328886870943,-0.62504982781056,0.00660421131793611,0.0535564265104996,-0.44155578903304,-0.0819877092110166,-0.476253877725704,0.383641655835826,0.525882758953554,0.042008185460829,0.206983224075967,0.0906230932311561,0.124335381520233,0.0101673567582614
"iron.mg","Iron","Solomon Islands","P7",2019,"barrier","fore reef","restriction",0.0577926506866084,-0.765292768678527,-0.352281582404838,-0.62504982781056,1.02578644715928,0.299917739240966,-0.44155578903304,-0.0819877092110166,-0.476253877725704,0.383641649865804,0.0802955289762118,0.00101303737304474,0.0475084728610127,0.00344897589919066,0.0334406689932808,0.834293315897259
"iron.mg","Iron","Solomon Islands","P7",2019,"barrier","fore reef","restriction",0.0577926506866084,-0.765292768678527,-0.352281582404838,-0.62504982781056,1.02578644715928,0.299917739240966,-0.44155578903304,-0.0819877092110166,-0.476253877725704,0.383641655835826,0.0802955289762118,0.00101303737304474,0.0475084728610127,0.00344897589919066,0.0334406689932808,0.834293315897259
"iron.mg","Iron","Solomon Islands","Peava 1",2019,"fringing","fore reef","restriction",1.38871115355085,-0.303715797569882,-0.777751915601251,-0.584986077933192,-0.75778246556307,1.0761882906747,-0.0778141265470689,0.0806976982694387,-0.476253877725704,0.543496028811818,0.13764012185147,0.00293126624227277,0.0647693098998203,0.157805614671557,0.488098706182073,0.148754981152806
