"id2","nutrient","nutrient_lab","country","reef_type","reef_zone","management_rules","biomass_kgha","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore","invertivore_mobile","omnivore","piscivore","planktivore"
"CZFR1_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",0.0645950138020182,-0.470300684749074,2.2898689547202,-0.202160234007813,-0.587250066636447,-0.762737640573159,1.64712850311512,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.504160214740854,0.108319358891881,0.000787370154486112,0.32572598156055,0.0610070746522286
"CZFR2_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",0.989222491617897,-0.610636440236217,1.38302701330331,1.14680149011042,-0.596727134213913,-0.857382677281553,2.05762364435557,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.438824450444309,0.0937562889039597,0.00327517393726975,0.424091693237589,0.0400523934768725
"CZFR3_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",-0.389721356312566,-0.294440606220206,1.88453529541156,-0.00638258240759193,-0.596727134213913,-0.864288109144397,2.82150155935955,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.648095404030077,0.129230875564093,0.00964465397032015,0.170170977338375,0.0428580890971348
"CZFR4_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",0.00560331815681183,-0.186399689861904,1.12324498620095,1.08333242600062,-0.596727134213913,-0.674998035727609,2.27893406832869,0.309053381305846,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.385543434069657,0.143381555766364,0.00034218728825044,0.461841035370646,0.00889178750508199
"CZFR5_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",1.1207733580614,-0.0037870540606426,1.32394656174954,-0.115093697344373,-0.454385295697466,0.0791834441947897,0.745229033375223,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.483984917231235,0.0791938591584312,0.000104626349265544,0.420279901381897,0.0164366958791721
"CZFR6_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",0.655626116664148,-0.157040745199322,0.0421095712813431,2.30389135118903,-0.42948476519981,-0.742427546858911,0.922515340751535,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.549513227917474,0.095426722655986,0.000595057933664998,0.257845214411862,0.0966197770810131
"CZPR1_Belize","calcium.mg","Calcium","Belize","patch","back reef","no-take",-0.217176993138743,-1.14966666424123,1.85284557295652,-0.114279991394247,-0.59115238858011,-0.856164071658698,-1.91882494122587,0.397472738755731,-1.41115186270554,-0.507986991117047,-1.35483976773912,0.534266107740986,0.118520627179105,0.00102027449162619,0.342958342570386,0.00323464801789637
"CZPR2_Belize","calcium.mg","Calcium","Belize","patch","back reef","no-take",0.131500944815073,0.351456176356602,-0.498089651033636,0.481840987667772,-0.596727134213913,-0.864288109144397,-1.85457352781432,0.397472738755731,-1.41115186270554,-0.507986991117047,-1.35483976773912,0.593638157003097,0.038713676908327,0,0.36564785487328,0.00200031121529573
"CZPR4_Belize","calcium.mg","Calcium","Belize","patch","back reef","no-take",-0.926986030938571,-1.12588591906453,2.96567071033117,-1.01602892532344,-0.596727134213913,-0.864288109144397,-1.96165921683357,0.397473023393996,-1.41115186270554,-0.507986991117047,-1.3548397256141,0.438531291809127,0.101858183439869,0,0.459610524751003,0
"CZPR5_Belize","calcium.mg","Calcium","Belize","patch","back reef","no-take",-0.182642000006712,-1.26798321123143,0.539933001941327,1.03499829256316,-0.596727134213913,-0.823667921715902,-1.83672591297778,0.397473023393996,-1.41115186270554,-0.507986991117047,-1.3548397045516,0.797533389591453,0.0433684499297767,0.000301169791179005,0.13168574572324,0.0271112449643516
"CZPR7_Belize","calcium.mg","Calcium","Belize","patch","back reef","no-take",-0.172441467319844,-0.626783859800637,0.0793265709087735,0.367596672270137,-0.596727134213913,-0.864288109144397,-1.75284212324603,0.397472738755731,-1.41115186270554,-0.507986991117047,-1.35483976773912,0.426100553206382,0.295795246213763,0,0.277900320108394,0.00020388047146155
"GUZFR2_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","restriction",0.170964216839678,-1.07715007092465,0.730439821816391,1.65357755584864,-0.29903571736881,-0.0380734968488004,1.97552461610748,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.617893013865271,0.241887511066104,0,0.105081809554745,0.0351376655138812
"GUZFR4_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","restriction",0.618845019385992,-0.284458565034928,1.5285786455096,1.57155599607598,-0.596727134213913,-0.850477245418709,0.00157841518599467,0.271461159818814,-1.41115186270554,-0.508252514120724,-1.92100371432407,0.474135667813859,0.072486320408725,0,0.259733234047902,0.193644777729514
"GUZPR1_Belize","calcium.mg","Calcium","Belize","patch","back reef","restriction",-0.250251415827174,-1.00375270926819,0.588941526203191,1.00228731336811,-0.587250066636447,-0.84397801543015,-2.02055634579416,0.397473023393996,-1.41115186270554,-0.507986991117047,-1.35483974667661,0.378791923125236,0.109066857178746,0,0.50963486057028,0.00250635912573797
"GUZPR2_Belize","calcium.mg","Calcium","Belize","patch","back reef","restriction",0.463604338551705,-0.989073236936901,0.509348734920766,0.433018630660235,-0.596727134213913,-0.809857057990213,-2.05089729101628,0.427566322766268,-1.41115186270554,-0.506500086830232,-1.92100371432407,0.172342417477239,0.0379155176939857,0,0.721904859254234,0.0678372055745405
