"nut_turnover","nut_prod_day_ha","biomass_turnover","prod_day_ha","biomass_kgha","nscore","nscore3","nutrient","nutrient_lab","country","site","year","reef_type","reef_zone","management_rules","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count"
0.000120713771397337,90.5634317085634,0.128654478215131,429.911804403683,334.16,178.501570451274,54.1364984571522,"selenium.mug","Selenium","Belize","CZFR1",2019,"atoll","fore reef","no-take",-0.371789138936399,2.1544016338644,-0.642423685461939,-0.552951645299258,-0.847624520577783,1.60177369888731,0.373205298662895,-1.3768676042005,-0.505017223938419,-1.31346862190721
0.00010180562079447,211.657566899883,0.119055536667179,1069.21872592207,898.084,169.073852969004,45.2753043424416,"selenium.mug","Selenium","Belize","CZFR1",2020,"atoll","fore reef","no-take",-0.587474694629067,2.37293916710228,0.149052506756329,-0.53460978532978,-0.640367448237614,2.30379827309271,0.373205298662895,-1.3768676042005,-0.505017223938419,-1.31346862190721
0.000143855842774302,415.186388787555,0.150453153443955,1869.30520496441,1242.45,174.423703824211,47.1518821055039,"selenium.mug","Selenium","Belize","CZFR2",2019,"atoll","fore reef","no-take",-0.652709290492518,1.47839219771521,1.27023126644127,-0.552951645299258,-0.847624520577783,1.95518197429788,0.373205298662895,-1.3768676042005,-0.505017223938419,-1.31346862190721
0.000108457691344531,375.429506450374,0.115840010726815,1575.08125945293,1359.704,187.967098084837,39.9784568804754,"selenium.mug","Selenium","Belize","CZFR2",2020,"atoll","fore reef","no-take",-0.587474694629067,1.2562123722567,0.861666125200147,-0.552951645299258,-0.833531039658651,2.55178306295707,0.373205298662895,-1.3768676042005,-0.505017223938419,-1.31346862190721
0.000149900087113093,157.091877748377,0.148119130732327,870.054242573866,587.401666666667,158.668773800522,55.5167548902558,"selenium.mug","Selenium","Belize","CZFR3",2019,"atoll","fore reef","no-take",-0.303616047763784,1.86301825621389,-0.0561802153554913,-0.552951645299258,-0.847624520577783,3.20708586515904,0.373205298662895,-1.3768676042005,-0.505017223938419,-1.31346862190721
0.000111337258793801,198.302832399685,0.116984412598614,758.757390582235,648.597,193.775591852639,43.923545012866,"selenium.mug","Selenium","Belize","CZFR4",2020,"atoll","fore reef","no-take",-0.195479420386533,1.11052068343144,1.00418884888891,-0.552951645299258,-0.654460929156745,1.78626479859317,0.315751998028594,-1.3768676042005,-0.505017223938419,-1.69100315726454
9.14140191055129e-05,303.770162073469,0.09697999507498,1367.81000682302,1410.40428571429,184.562285391385,45.9686427089119,"selenium.mug","Selenium","Belize","CZFR5",2020,"atoll","fore reef","no-take",-0.0127050121565062,1.30890419971517,-0.161963748048929,-0.415207873371611,0.115153666133081,1.27489243688528,0.347161370348326,-1.3768676042005,-0.505017223938419,-1.69100315726454
0.000115239377153152,235.418315073657,0.114345292117775,1055.28412505804,922.8925,175.411494745604,50.3442579800812,"selenium.mug","Selenium","Belize","CZFR6",2020,"atoll","fore reef","no-take",-0.166094467294889,0.0418721458981996,2.19187821296194,-0.391111704392102,-0.723270277173682,1.73954302658974,0.347161370348326,-1.3768676042005,-0.505017223938419,-1.69100315726454
0.000190269111757766,101.670981758143,0.189907116107589,510.434720512928,268.78125,172.322984359098,63.2676378690992,"selenium.mug","Selenium","Belize","CZPR1",2019,"patch","back reef","no-take",-1.36147435906298,1.80255620535141,-0.231008089747041,-0.552951645299258,-0.847624520577783,-1.9263190844487,0.406797047508754,-1.3768676042005,-0.50474411244008,-1.31346864283429
0.000110528644576905,148.943382735658,0.116302221953806,712.99206393472,613.051111111111,156.929540723974,37.7420215485247,"selenium.mug","Selenium","Belize","CZPR1",2020,"patch","back reef","no-take",-0.957725103583785,1.86083288088151,-0.0913358205320529,-0.542162315905447,-0.831043954790569,-1.86641937675199,0.406797047508754,-1.3768676042005,-0.50474411244008,-1.31346864283429
0.000158569508267461,243.670161049629,0.158944113762955,1009.56930099101,635.1725,172.801924887237,47.4626304141863,"selenium.mug","Selenium","Belize","CZPR2",2020,"patch","back reef","no-take",0.342852920252389,-0.49208789364636,0.418895530273721,-0.552951645299258,-0.847624520577783,-1.76458987366759,0.406797047508754,-1.3768676042005,-0.50474411244008,-1.31346864283429
0.000217569390772358,52.1747979072986,0.21385307463502,238.970118250903,111.745,163.78290743448,45.9752134086068,"selenium.mug","Selenium","Belize","CZPR4",2019,"patch","back reef","no-take",-1.13579791931915,2.93166679374713,-1.0386368573167,-0.552951645299258,-0.847624520577783,-0.46476621664906,0.406797340599607,-1.3768676042005,-0.50474411244008,-1.31346860098014
0.000171947443542387,319.736063785351,0.172476516911768,1487.95491139782,862.7,181.607871787001,59.876388390216,"selenium.mug","Selenium","Belize","CZPR5",2019,"patch","back reef","no-take",-1.5083991245212,0.819137305780934,0.735295976862777,-0.552951645299258,-0.847624520577783,-1.93979651868046,0.406797340599607,-1.3768676042005,-0.50474411244008,-1.31346858005306
0.000145031935754941,101.298919848962,0.143782950346617,492.295248515106,342.387777777778,157.369026901039,45.1934475760353,"selenium.mug","Selenium","Belize","CZPR5",2020,"patch","back reef","no-take",-1.04764306004422,0.248754344030062,1.17901672328046,-0.552951645299258,-0.764721691641715,-1.99021210599185,0.406797340599607,-1.3768676042005,-0.50474411244008,-1.31346858005306
