"nutrient","nutrient_lab","country","site","year","reef_type","reef_zone","management_rules","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"calcium.mg","Calcium","Fiji","Ada01",2017,"patch","fore reef","restriction",-1.47764632354532,-0.909914446305438,-0.71289962462905,-0.62504982781056,1.33748634762075,0.146522959616336,-2.28657516488635,0.3699211166467,-0.348757326998204,-0.11930525466274,0.146146675550764,0.256035966443224,0.097398570109065,0.07882711896089,0.0306089620154402,0.390982706920616
"calcium.mg","Calcium","Fiji","Ada04",2017,"fringing","fore reef","restriction",-1.33454341114691,-0.245693926905193,0.367971891574309,-0.382239222493179,2.21483238897418,-1.43390810318288,-2.29286293278203,0.238228135769984,-0.42602639843383,0.295463167451179,0.10775463527233,0.236764367502153,0.170098877005947,0.154198443305393,0.239697009403923,0.0914866675102543
"calcium.mg","Calcium","Fiji","BUA20A",2019,"fringing","fore reef","restriction",0.323730681023579,-0.130516183645437,-0.990978387434096,-0.361600321041202,0.34633162326505,-1.02950368417249,0.419299229443732,1.28537223406913,0.852224774832738,0.248419699772356,0.217844610750408,0.227903921639284,0.150018545047327,0.156586634624297,0.114719141817869,0.132927146120816
"calcium.mg","Calcium","Fiji","BUA25",2019,"fringing","fore reef","restriction",1.53181406594926,-0.89519247912186,-0.990978387434096,0.346192593458963,0.105974479312467,-1.3641832033535,0.392796040206067,1.23976249133597,0.872794335814829,0.0304375253826497,0.242609145221429,0.130688816396335,0.174774272158579,0.220875107807286,0.172452928873384,0.0585997295429862
"calcium.mg","Calcium","Fiji","BuC2",2019,"fringing","fore reef","restriction",-1.06799120522024,-0.620671091051616,-1.10594381233936,-0.342175472615812,-0.361150712114814,-0.146321619667048,1.17044201748135,0.522413779732543,-0.151414450652836,0.787028746553887,0.140121235002466,0.222759532015773,0.110170730659703,0.134718122444474,0.221475797661927,0.170754582215658
"calcium.mg","Calcium","Fiji","BuE5",2019,"fringing","fore reef","restriction",-0.822320969343135,-0.620671091051616,0.0407626053054744,-0.62504982781056,-0.814686807064211,0.0535564265104996,1.24607672865041,0.494275206980324,-0.0378799808698174,0.758621325763295,0.210799185093301,0.226268364067196,0.114103831973255,0.130726322628453,0.220461305408745,0.0976409908290501
"calcium.mg","Calcium","Fiji","BuE6",2019,"fringing","fore reef","restriction",0.139478004115747,-0.447471477127171,-0.0899245871082045,-0.62504982781056,0.233372258792634,0.13257797965046,1.24607672865041,0.494275193809974,-0.0378799808698174,0.758621318088979,0.27463838546606,0.173911410790165,0.163248459558602,0.185156910632087,0.0600645619055425,0.142980271647544
"calcium.mg","Calcium","Fiji","DamC4",2019,"patch","back reef","restriction",2.55564477396712,-0.938492382602971,-1.13836995782546,-0.0993648672984309,-0.191287006141258,-0.271826439359928,0.419299229443732,1.28537219565852,0.852224774832738,0.24841966735595,0.210288268990446,0.260992939394555,0.159988582279105,0.123327318375442,0.132098318232163,0.113304572728289
"calcium.mg","Calcium","Fiji","DamC8",2019,"patch","fore reef","restriction",-0.392398056558194,-0.0144724423160595,-1.13836995782546,0.38625634333633,0.883950252671357,-0.364792972465764,0.392796040206067,1.23976249480884,0.872794335814829,0.0304375274773723,0.196472198785395,0.188978897165581,0.121492053054401,0.187170732877841,0.0870715180768849,0.218814600039897
"calcium.mg","Calcium","Fiji","DamE6",2019,"patch","fore reef","restriction",-1.55933167697446,0.33192678553283,-0.0250722961360029,-0.179492367053167,0.629154693711022,-0.657637551749149,0.440559280177957,1.20861587906167,0.566805592040047,0.298846788113644,0.211031598722335,0.114469084078116,0.110211360465323,0.13693772296355,0.116102884669828,0.311247349100848
"calcium.mg","Calcium","Fiji","DawaC2",2019,"lagoon","fore reef","restriction",-1.86641947182085,1.74610163322592,-0.25402053547726,-0.62504982781056,2.83738287136726,0.179061246203379,1.27879536609834,1.25417676530114,1.1339920343873,0.810483865657259,0.152476296179535,0.172623984469144,0.13007797331342,0.159377347685979,0.0917050019884466,0.293739396363476
"calcium.mg","Calcium","Fiji","DawaE6",2019,"patch","fore reef","restriction",-1.35481120560677,-0.303715797569882,-0.286446680963361,0.548939448898975,3.14908277182874,-0.676230858370316,1.11136502363718,1.07481653414526,1.31521140653251,-0.518382300093559,0.223509962730911,0.171492611400902,0.0411009080899449,0.198720086138916,0.18792821234731,0.177248219292016
"calcium.mg","Calcium","Fiji","KB05",2016,"barrier","fore reef","no-take",-0.106192231761362,-0.79387070497606,-0.777751915601251,2.53148804131539,0.20449542877713,-0.318309705912846,0.456362001644624,-1.57485757812517,-0.475994898247829,-1.89386427217417,0.172782532241621,0.186476264445907,0.168690281662906,0.179190371275362,0.169928469864806,0.122932080509399
"calcium.mg","Calcium","Fiji","KB09",2019,"barrier","fore reef","restriction",0.406030210042411,-0.577371187570504,-0.303151058941049,-0.564347176481215,-0.672850612576291,-0.0719483931823793,0.350915126897757,0.294872780412803,-0.466326886973489,-0.907295500332623,0.227126962260767,0.176479166350691,0.210601749829753,0.166590503466508,0.16278059994432,0.0564210181479603
"calcium.mg","Calcium","Fiji","KB17",2019,"fringing","fore reef","restriction",0.323730681023579,-0.462193444310749,0.00833645981937363,-0.50364452515187,-0.658412197568539,0.0907430397528342,0.340037818795175,0.144206485932628,-0.471937654524621,-0.907295523008416,0.244238399728272,0.175732059056837,0.163685019986728,0.20954973028786,0.15427607005939,0.0525187208809134
"calcium.mg","Calcium","Fiji","KD3",2017,"fringing","fore reef","restriction",-1.39596097011619,0.360504721830363,-1.13836995782546,1.27737126485112,0.601127182225385,-0.643692571783273,0.434779121000151,0.0506422160816808,-0.472887205112913,0.678539131189529,0.156094099734254,0.214154546575993,0.160013396377848,0.0686040134705743,0.107161108343882,0.293972835497448
"calcium.mg","Calcium","Fiji","Kan04",2017,"fringing","fore reef","restriction",-1.31366144109735,-0.447471477127171,-0.843586817042728,1.76299247548588,1.1676226416472,0.843771957910109,-2.29559144616721,0.0282700694595854,-0.437847075764272,-0.662821639948935,0.145600385492669,0.230656278111568,0.116851223453228,0.164703323091382,0.099601444168149,0.242587345683004
"calcium.mg","Calcium","Fiji","Kan06",2017,"fringing","fore reef","restriction",0.794803358317936,-0.736714832380993,0.466232938501887,-0.260833919834489,0.233372258792634,0.550927378626724,-2.30577549799189,-1.03554995083861,-0.473923090394084,-1.00294071369232,0.269483109119816,0.154539861349891,0.221300766482568,0.225333536556229,0.0682940985065495,0.0610486279849475
"calcium.mg","Calcium","Fiji","Kan07",2017,"fringing","fore reef","restriction",-0.679218056944719,-0.447471477127171,-0.319855436918737,-0.463580775274502,0.148440405805856,0.71826713821723,-2.30203901318453,-0.443063543045075,-0.465204777222328,-0.991785523765317,0.154394286319738,0.382264156725608,0.151177883430468,0.164032126397992,0.0622218882419658,0.0859096588842273
"calcium.mg","Calcium","Fiji","LV08",2018,"patch","back reef","restriction",0.569400916900688,0.0721273646461628,-1.10594381233936,-0.300897669711857,0.99775893567364,-1.1410635238995,0.953541840800976,-0.0762717034850817,-0.378846097708768,-1.18522003090417,0.139302855412307,0.139667926434678,0.115551579270169,0.126957636618962,0.177652032296301,0.300867969967582
"calcium.mg","Calcium","Fiji","LV12",2018,"fringing","fore reef","restriction",0.65170044591952,-0.592093154754082,-0.0899245871082045,0.0220404353602594,-0.842714318549848,0.0535564265104996,0.985252740490598,-0.50797823246709,-0.432238523408569,-1.51151869313645,0.188331903852351,0.242642692592331,0.221873090901085,0.202702084155659,0.0847551647581108,0.0596950637404624
"calcium.mg","Calcium","Fiji","LV13",2018,"fringing","back reef","restriction",-0.249295144159778,-0.592093154754082,-0.418116483846315,0.953219106752414,0.658031523726527,0.113984673029293,0.93759951283634,0.590290794644904,-0.251062712558343,1.25130805849394,0.16369182486106,0.216320337007681,0.137365916957083,0.161903961303514,0.104187762495011,0.21653019737565
"calcium.mg","Calcium","Fiji","LV17",2018,"patch","fore reef","restriction",-1.23197608766821,-0.880470511938283,-1.10594381233936,2.28867743599801,3.37585081930344,0.0535564265104996,1.17044201748135,0.52241376720845,-0.151414450652836,0.787028742727131,0.0948990615512151,0.25502929415721,0.108885370929122,0.149700421638846,0.101228580696097,0.29025727102751
"calcium.mg","Calcium","Fiji","MAP01",2019,"fringing","fore reef","restriction",-0.054601482227169,0.187305107905918,-0.630360345209884,-0.463580775274502,0.658031523726527,-0.20210153953055,0.30614686850957,0.525451673823236,-0.469002746011307,0.0555009358476091,0.180468214023879,0.158417671580176,0.129341813365717,0.0996390144239087,0.141433008682263,0.290700277924057
"calcium.mg","Calcium","Fiji","MD4",2017,"fringing","fore reef","restriction",-1.02745561630052,-0.360871670164949,0.957538173139778,0.184723540922904,-0.502986906602734,1.0761882906747,0.457214974943222,-0.658477993182417,-0.475390615820849,-0.347710017158311,0.164698865234432,0.159593612265586,0.146256456228898,0.0983767949195724,0.223342875440431,0.20773139591108
"calcium.mg","Calcium","Fiji","N19",2016,"barrier","fore reef","no-take",-0.187877585190501,0.302482851165674,-1.10594381233936,0.224787290800272,0.176467917291493,-0.318309705912846,0.470238772694363,-1.53891773628651,-0.47513163893274,-1.89386433263683,0.169965442790036,0.144007264238963,0.209505453558678,0.197734625414345,0.115580042639949,0.16320717135803
"calcium.mg","Calcium","Fiji","NA05",2018,"fringing","fore reef","restriction",-0.00362490828266891,0.0721273646461628,-0.221594389991159,-0.50364452515187,-0.559891248103876,0.425422558933845,1.09120136304895,0.247203747176333,-0.326779323923899,1.14197512031817,0.173456169741385,0.166033505062802,0.116273332882191,0.150420812670934,0.183833007991345,0.209983171651342
"calcium.mg","Calcium","Fiji","NA07",2018,"fringing","fore reef","restriction",-0.310712703129055,-0.938492382602971,-1.13836995782546,3.86694637056098,1.28058200611961,0.146522959616336,1.15359033525026,0.327647569735274,-0.301533073791019,1.27610561137909,0.129808869085802,0.184255991711075,0.109604002820983,0.111956919123372,0.115014556038695,0.349359661220073
"calcium.mg","Calcium","Fiji","NAO1",2019,"fringing","fore reef","restriction",1.26587603561229,-0.851892575640749,-0.892717340506518,-0.422302972370547,-0.842714318549848,-0.262529786049344,1.15359033525026,0.327647551993696,-0.301533073791019,1.27610560030675,0.245401712344763,0.194338243359174,0.136578552328056,0.179069062443201,0.14106428297125,0.103548146553556
