"nutrient","nutrient_lab","country","site","year","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"zinc.mg","Zinc","Fiji","LV12",2018,41.67,4,10.67,5.33,0,"fringing","fore reef",7.8,"restriction",0.530114240114399,0.849715579025322,0.000221433724969148,1.24469090153509,0.269915311736082,0.0238352278781723,0.0507936259844172,0.0176066456323445,0.384166068135771,0.253683120633213
"zinc.mg","Zinc","Fiji","LV13",2018,27,4,7.33,13,17.67,"fringing","back reef",7.93,"restriction",0.473013002082483,1.70257785275379,0.00113289826486162,3.7736169790949,0.495050474552888,0.0435027299678408,0.168569074366183,0.282440855305123,0.00694111474225318,0.00349575106571194
"zinc.mg","Zinc","Fiji","LV17",2018,11,0.67,0.33,24,49.67,"patch","fore reef",7.8,"restriction",0.752020236978447,1.6498678568199,0.00163421163976833,3.34864351008479,0.188959063770987,0.00132970686918257,0.129671332008403,0.00197218561257718,0.0384037553098662,0.639663956428984
"zinc.mg","Zinc","Fiji","MAP01",2019,30.17,13,5.17,1.33,17.67,"fringing","fore reef",7.25,"restriction",-0.283635173172106,1.65222694724211,3.64792043747266e-05,2.67904678412792,0.405195298873166,0.0608457603085267,0.117417553914686,0.168466350545726,0.0342694260180193,0.213805610339876
"zinc.mg","Zinc","Fiji","MD4",2017,14.33,6.67,21.33,6.67,4,"fringing","fore reef",10,"restriction",-0.102615411675887,0.732844789673475,4.34292310448164e-06,2.30997163556397,0.295837540981194,0.0554235426396705,0.263465579663341,0.185772835642657,0.0454218911902937,0.154078609882844
"zinc.mg","Zinc","Fiji","N19",2016,28,14.33,0.33,7,12,"barrier","fore reef",7,"no-take",-0.0870094388577795,0.0491381361596147,5.6457915671943e-06,0.894714610838178,0.786489966136371,0.0172909557987624,0.0089266267146512,0.0110029229810555,0.0240794126194168,0.152210115749743
"zinc.mg","Zinc","Fiji","NA05",2018,31,11.67,9.33,1,3.33,"fringing","fore reef",8.6,"restriction",0.65706886236479,1.43615314972791,0.000751980933697721,3.67354015801816,0.356097758319713,0.0513200602902716,0.293460874521791,0.211554349903689,0.0833156395634014,0.00425131740113377
"zinc.mg","Zinc","Fiji","NA07",2018,26,0,0,37,25,"fringing","fore reef",8,"restriction",0.731827440694068,1.49862190712831,0.000878990503316251,3.79631517329543,0.228628959491944,0.0624070619483011,0.18183477303057,0.0825025836341777,0.0408865892823475,0.40374003261266
"zinc.mg","Zinc","Fiji","NAO1",2019,51.67,1,2.5,1.67,0,"fringing","fore reef",7.12,"restriction",0.731827440694068,1.49862189335106,0.000878990503316251,3.79631516316047,0.529978155663513,0.0771503932866473,0.133698560302619,0.146838072670015,0.0307492062642905,0.0815856118129149
"zinc.mg","Zinc","Fiji","NAO6",2019,47,1.67,10.67,3,3.33,"fringing","fore reef",7.15,"restriction",0.731827440694068,1.49862189335106,0.000878990503316251,3.796315151776,0.683297141807656,0.0309489548255574,0.107901784864442,0.116555193863562,0.03820816921271,0.0230887554260722
"zinc.mg","Zinc","Fiji","NAO7",2019,45.25,1.5,2.25,2,3,"fringing","fore reef",7.2,"restriction",0.731827440694068,1.49862190712831,0.000878990503316251,3.79631516774203,0.320947788218059,0.0813876102464892,0.192825485361445,0.224222693822437,0.0558214017379283,0.124795020613641
"zinc.mg","Zinc","Fiji","NAOBF2",2019,27,10.33,22,1.67,19.83,"fringing","fore reef",5.62,"restriction",0.473012855941716,1.70257783552573,0.00113289826486162,3.77361695773741,0.515040380558442,0.00269150434523238,0.236099663985058,0.201675996734001,0.0261154274366801,0.0183770269405862
"zinc.mg","Zinc","Fiji","NAOBF3",2019,23,6,4.67,2.5,13.17,"fringing","fore reef",4.13,"restriction",0.492116150152459,1.18495788665439,0.000490041893442823,1.54336517207369,0.439626067173255,0.00185639619592388,0.243151830059651,0.0915741111103821,0.0936041850819876,0.1301874103788
"zinc.mg","Zinc","Fiji","NAOBF4",2019,44.17,12.83,5.5,1.33,5.5,"fringing","fore reef",7.2,"restriction",0.492116150152459,1.18495785828653,0.000490041893442823,1.54336514721666,0.249547750557041,0.0452735926991876,0.141344267325741,0.100918199295786,0.069570105888113,0.393346084234131
"zinc.mg","Zinc","Fiji","NAOBT1",2019,25.83,15.5,2.5,5.33,20,"fringing","fore reef",4.25,"restriction",0.473013002082483,1.70257786998185,0.00113289826486162,3.77361699906269,0.482798681458693,0.0148028913178492,0.147570882621065,0.168186851095506,0.0305866603721655,0.156054033134721
"zinc.mg","Zinc","Fiji","NAOBT2",2019,38.67,19.17,2.67,3.17,9,"fringing","back reef",6.87,"restriction",0.473013002082483,1.70257786136782,0.00113289826486162,3.77361698487312,0.520272863368639,0.0201689631869038,0.257006352839686,0.151944859906893,0.0357487272407818,0.0148582334570956
"zinc.mg","Zinc","Fiji","NC1",2017,6.67,11.67,16.33,12.67,7.33,"fringing","fore reef",7.23,"restriction",-0.264627886771199,1.34490650000883,8.03370482042936e-05,2.99738636124077,0.202368262285521,0.0671003452950476,0.0340004990125203,0.123354417778402,0.0124919047502846,0.560684570878225
"zinc.mg","Zinc","Fiji","NC2",2017,4.33,13,11.33,37,0,"fringing","fore reef",7.8,"restriction",-0.302063107176063,1.51824251314887,0.000140254467777423,3.30523340097973,0.593483469555064,0.16952790877103,0.108560021660628,0.0917972613159489,0.0305252209957441,0.00610611770158401
"zinc.mg","Zinc","Fiji","NF1",2017,3.67,30.33,2,13,24,"fringing","fore reef",5.57,"restriction",-0.169804748032487,1.39559005298009,5.64546131770521e-05,3.28125958461378,0.290937351419344,0.0454063521404372,0.46654771000804,0.16636295484091,0.0264026562653789,0.00434297532588964
"zinc.mg","Zinc","Fiji","NF4",2017,3.67,15.33,4.67,3,46.67,"fringing","fore reef",3.23,"restriction",-0.169804748032487,1.39559005298009,5.64546131770521e-05,3.28125959052256,0.341207620763539,0.113372848904834,0.314985434750787,0.0921447456858853,0.112375616716822,0.0259137331781323
"zinc.mg","Zinc","Fiji","NP1",2019,32,5.33,14.33,3.33,11.5,"fringing","fore reef",7.62,"restriction",-0.283635173172106,1.65222694724211,3.64792043747266e-05,2.67904678594664,0.62515939830768,0.0918414976903739,0.105852753168574,0.109318775519929,0.0439754417944774,0.0238521335189652
"zinc.mg","Zinc","Fiji","NS1",2017,10.67,44,6,5.67,3,"fringing","fore reef",4.47,"restriction",0.482975179384918,1.82060014779348,0.00378860045443916,3.24689240403881,0.334684388071898,0.261018303758993,0.293433086986843,0.068673875124261,0.0359704549461027,0.00621989111190239
"zinc.mg","Zinc","Fiji","NTRFT8",2019,38.33,14.5,0,5.5,7.17,"fringing","fore reef",4.73,"restriction",0.507760775070823,2.72054033673888,0.0333413121355599,3.2425848088709,0.541569191908953,0.00232018762535004,0.0485060080353416,0.27550197613175,0.0246881858215364,0.107414450477069
"zinc.mg","Zinc","Fiji","NV1",2017,17,38.67,4.67,10.67,5,"fringing","fore reef",6,"restriction",-0.207662950986604,0,0,3.35643994432316,0.597159369840283,0.0705875649654501,0.117176178975819,0.0417214540470636,0.0334277812985858,0.139927650872798
"zinc.mg","Zinc","Fiji","TF3",2017,5.67,42.67,2.33,17.33,15.67,"fringing","fore reef",4,"restriction",-0.302063107176063,1.51824251314887,0.000140254467777423,3.30523340248512,0.541130729923044,0.030120239884811,0.102821966072213,0.321117585286676,0.000887020068456086,0.00392245876479983
"zinc.mg","Zinc","Fiji","TF4",2017,3,35.33,19.33,22,0,"fringing","fore reef",6.5,"restriction",-0.302063107176063,1.51824251314887,0.000140254467777423,3.30523339689368,0.904230862460656,0.0457998244959451,0.0131192433047675,0.0296115223581985,0.00684716415243685,0.000391383227996304
"zinc.mg","Zinc","Fiji","TF5",2017,5.33,34,37.67,2.33,1.67,"fringing","fore reef",5.77,"restriction",-0.302063107176063,1.51824249998021,0.000140254467777423,3.30523338721617,0.586181705183184,0.0500046540138409,0.316037452835918,0.0327001893239341,0.00482971426512876,0.0102462843779947
"zinc.mg","Zinc","Fiji","TT3",2017,3.67,46,14.33,4,11.33,"fringing","fore reef",6.87,"restriction",-0.302063107176063,1.51824249998021,0.000140254467777423,3.30523339345279,0.55646313727194,0.0509725082920677,0.155374875836839,0.0724271201456221,0.09452738954286,0.0702349689106712
