"nutrient","nutrient_lab","country","site","year","reef_type","reef_zone","management_rules","hard_coral","macroalgae","turf_algae","bare_substrate","depth","grav_nc","sediment","nutrient_load","pop_count","browser","cropper/grazer","invertivore-mobile","piscivore","planktivore","scraper-excavator"
"zinc.mg","Zinc","Belize","CZFR1",2019,"atoll","fore reef","no-take",-0.510696380070306,2.33550660201123,-0.280800554976867,-0.574036075136379,1.66836559626439,0.365299488202465,-1.34768171904912,-0.504384589518094,-1.27786036512202,0.180851123886192,0.244042082421738,0.113169066757038,0,0.139429027980849,0.322508698954183
"zinc.mg","Zinc","Belize","CZFR2",2019,"atoll","fore reef","no-take",-0.65159622832428,1.42146977035954,1.06516551816362,-0.583743802663274,2.07315416067291,0.365299488202465,-1.34768171904912,-0.504384589518094,-1.27786036512202,0.408586851378922,0.0321420836456641,0.0932001511231202,0,0.030268580220396,0.435802333631898
"zinc.mg","Zinc","Belize","CZFR3",2019,"atoll","fore reef","no-take",-0.334129415417314,1.92695702264639,-0.0854576685022607,-0.583743802663274,2.82641288052875,0.365299488202465,-1.34768171904912,-0.504384589518094,-1.27786036512202,0.109151187521556,0.166063907010898,0.120205850620803,0,0.0613999435708286,0.543179111275914
"zinc.mg","Zinc","Belize","CZPR1",2019,"patch","back reef","no-take",-1.19279313500691,1.89501587371423,-0.193115468778789,-0.578033374706277,-1.84801506324957,0.399385944601894,-1.34768171904912,-0.504107129910673,-1.27786038590595,0.619906567559773,0.206531623617832,0.0471636834765356,0,0.0127793542372297,0.11361877110863
"zinc.mg","Zinc","Belize","CZPR4",2019,"patch","back reef","no-take",-1.16891680088856,3.01667017342496,-1.09286188104462,-0.583743802663274,-1.89025386997046,0.399386242009112,-1.34768171904912,-0.504107129910673,-1.2778603443381,0.547157039782115,0.113195141358528,0.162998093915649,0,0,0.176649724943707
"zinc.mg","Zinc","Belize","CZPR5",2019,"patch","back reef","no-take",-1.31158526648463,0.571686645280686,0.953610602944959,-0.583743802663274,-1.76705735036787,0.399386242009112,-1.34768171904912,-0.504107129910673,-1.27786032355418,0.385176745678388,0.274741644095745,0.0630903835174905,0,0.000376044862595089,0.276615181845781
"zinc.mg","Zinc","Belize","CZPR7",2019,"patch","back reef","no-take",-0.667808553960197,0.107425759638829,0.287691087207336,-0.583743802663274,-1.68433968720613,0.399385944601894,-1.34768171904912,-0.504107129910673,-1.27786038590595,0.425808790915788,0.323484927888085,0.117675902825011,0,0,0.133030378371116
"zinc.mg","Zinc","Belize","GUZPR1",2019,"patch","back reef","gear restriction",-1.04629266516962,0.62108400351298,0.920972265304563,-0.574036075136379,-1.94833222921168,0.399386242009112,-1.34768171904912,-0.504107129910673,-1.27786036512202,0.242117892760185,0.488493185451115,0.0684525081092435,0,0,0.200936413679456
"zinc.mg","Zinc","Belize","GUZPR6",2019,"patch","back reef","gear restriction",-0.923668529450677,0.317643088657462,0.685196811305288,-0.583743802663274,-2.06976879853424,0.338872009507087,-1.34768171904912,-0.504384589518094,-1.65281237968975,0.300982713817802,0.411447224458077,0.0936160949946748,0,0.0314858767315128,0.162468089997933
"zinc.mg","Zinc","Belize","WFR2",2019,"atoll","fore reef","no-take",-0.524255779693073,0.939009858000523,0.684709671937521,-0.583743802663274,1.69476485046495,0.474411385676523,-1.34768171904912,-0.489681141682348,-1.38241311095205,0.137232666947995,0.153598415648383,0.227391118872072,0,0,0.48177779853155
"zinc.mg","Zinc","Belize","WFR3",2019,"atoll","fore reef","no-take",-0.894191573749009,1.44412570157886,-0.426455225939229,-0.583743802663274,1.52404967330136,0.509093964803809,-1.34768171904912,-0.489847574008069,-2.55584297830722,0.315939467435239,0.15981484454314,0.100195205332444,0.056029981875974,0.00793097911368878,0.360089521699514
"zinc.mg","Zinc","Belize","WFR4",2019,"atoll","fore reef","no-take",-0.545184418241258,1.02963358287781,0.385118960760756,-0.526639523093302,0.292084477275442,0.509093964803809,-1.34768171904912,-0.489847574008069,-2.55584297830722,0.107000276090685,0.151511097467371,0.127948151760927,0.0922283330825015,0,0.521312141598516
"zinc.mg","Zinc","Belize","WFR5",2019,"atoll","fore reef","no-take",-0.835237662345673,2.2493397816361,-0.637873711550149,-0.583743802663274,1.9112387349095,0.43082953535523,-1.34768171904912,-0.502553381745816,-1.83653595657171,0.195046822981066,0.0812680414276809,0.164996067530754,0,0,0.558689068060499
"zinc.mg","Zinc","Belize","WFR6",2019,"atoll","fore reef","no-take",-0.610328490341944,1.31041856651401,0.0991681518814692,-0.574036075136379,1.2600571312958,0.430829260129005,-1.34768171904912,-0.502553381745816,-1.83653595657171,0.201326047918309,0.116738407021994,0.124607756567109,0.047040088487211,0,0.510287700005377
"zinc.mg","Zinc","Belize","CZFR1",2020,"atoll","fore reef","no-take",-0.510696380070306,2.33550660201123,-0.280800554976867,-0.574036075136379,1.66836559626439,0.365299488202465,-1.34768171904912,-0.504384589518094,-1.27786036512202,0.0579018318891154,0.459042288517986,0.147071719598375,0.0133926782719708,0.0379323292156654,0.284659152506887
"zinc.mg","Zinc","Belize","CZFR2",2020,"atoll","fore reef","no-take",-0.65159622832428,1.42146977035954,1.06516551816362,-0.583743802663274,2.07315416067291,0.365299488202465,-1.34768171904912,-0.504384589518094,-1.27786036512202,0.0777069463968517,7.03633431537735e-05,0.248513279679233,0.0694844915385269,0.0578191228889504,0.546405796153285
