"nut_turnover","biomass_kgha","nutrient","nutrient_lab","country","site","year","reef_type","reef_zone","management_rules","hard_coral","macroalgae","turf_algae","bare_substrate","depth","grav_nc","sediment","nutrient_load","pop_count"
0.0208438579575816,1937.26,"iron.mg","Iron","Belize","CZFR1",2019,"atoll","fore reef","no-take",-0.510128371463815,2.33290899626694,-0.280488241950657,-0.573397618621239,1.66651000054366,0.364893193461904,-1.34618279552997,-0.503823601034509,-1.27643909856599
0.0204922294225167,6780.10833333333,"iron.mg","Iron","Belize","CZFR1",2020,"atoll","fore reef","no-take",-0.510128371463815,2.33290899626694,-0.280488241950657,-0.573397618621239,1.66651000054366,0.364893193461904,-1.34618279552997,-0.503823601034509,-1.27643909856599
0.0192307873863903,3702.2,"iron.mg","Iron","Belize","CZFR2",2019,"atoll","fore reef","no-take",-0.650871507570249,1.41988877802253,1.06398081585269,-0.583094548983714,2.07084834952601,0.364893193461904,-1.34618279552997,-0.503823601034509,-1.27643909856599
0.0165965083292939,11182.47,"iron.mg","Iron","Belize","CZFR2",2020,"atoll","fore reef","no-take",-0.650871507570249,1.41988877802253,1.06398081585269,-0.583094548983714,2.07084834952601,0.364893193461904,-1.34618279552997,-0.503823601034509,-1.27643909856599
0.023274682924845,2922.175,"iron.mg","Iron","Belize","CZFR3",2019,"atoll","fore reef","no-take",-0.333757788769768,1.92481381541816,-0.0853626204598342,-0.583094548983714,2.82326927719752,0.364893193461904,-1.34618279552997,-0.503823601034509,-1.27643909856599
0.0194483669162466,4593.5475,"iron.mg","Iron","Belize","CZFR4",2020,"atoll","fore reef","no-take",-0.225403240470254,1.15833686666035,1.00072313307512,-0.583094548983714,2.28883945941215,0.306658616867508,-1.34618279552997,-0.503823601034509,-1.65097408262477
0.0147036924960487,17320.4025,"iron.mg","Iron","Belize","CZFR5",2020,"atoll","fore reef","no-take",-0.0422604985074882,1.36040581378366,-0.193711677114755,-0.437450457657138,0.778137627996927,0.338495108034097,-1.34618279552997,-0.503823601034509,-1.65097408262477
0.0162539773307005,5770.74,"iron.mg","Iron","Belize","CZFR6",2020,"atoll","fore reef","no-take",-0.19595906973669,0.0698357206509697,2.21721703264383,-0.41197224846946,0.952764914948725,0.338495108034097,-1.34618279552997,-0.503823601034509,-1.65097408262477
0.0267638911052647,710.2275,"iron.mg","Iron","Belize","CZPR1",2019,"patch","back reef","no-take",-1.19146648223848,1.89290819218816,-0.192900681181709,-0.577390472299905,-1.84595965713781,0.398941738097406,-1.34618279552997,-0.503546450024234,-1.27643911932679
0.0183426203434333,5177.97,"iron.mg","Iron","Belize","CZPR1",2020,"patch","back reef","no-take",-1.19146648223848,1.89290819218816,-0.192900681181709,-0.577390472299905,-1.84595965713781,0.398941738097406,-1.34618279552997,-0.503546450024234,-1.27643911932679
0.0217389483233195,5039.8,"iron.mg","Iron","Belize","CZPR2",2020,"patch","back reef","no-take",0.314013967368632,-0.474043856734769,0.401234939367653,-0.583094548983714,-1.78267191555797,0.398941738097406,-1.34618279552997,-0.503546450024234,-1.27643911932679
0.036027018684248,443.535,"iron.mg","Iron","Belize","CZPR4",2019,"patch","back reef","no-take",-1.16761670394429,3.01331496142754,-1.09164637418308,-0.583094548983714,-1.88815148485771,0.398942035173841,-1.34618279552997,-0.503546450024234,-1.27643907780518
0.0248214094118322,5313.1015,"iron.mg","Iron","Belize","CZPR5",2019,"patch","back reef","no-take",-1.31012649029474,0.571050801857064,0.952549974652196,-0.583094548983714,-1.76509198734134,0.398942035173841,-1.34618279552997,-0.503546450024234,-1.27643905704437
0.0203206488783424,2451.56,"iron.mg","Iron","Belize","CZPR5",2020,"patch","back reef","no-take",-1.31012649029474,0.571050801857064,0.952549974652196,-0.583094548983714,-1.76509198734134,0.398942035173841,-1.34618279552997,-0.503546450024234,-1.27643905704437
0.0268725063412132,2618.01,"iron.mg","Iron","Belize","CZPR7",2019,"patch","back reef","no-take",-0.667065801473709,0.107306278165267,0.287371110368021,-0.583094548983714,-1.68246632472321,0.398941738097406,-1.34618279552997,-0.503546450024234,-1.27643911932679
0.0287983976660017,3888.78333333333,"iron.mg","Iron","Belize","CZPR7",2020,"patch","back reef","no-take",-0.667065801473709,0.107306278165267,0.287371110368021,-0.583094548983714,-1.68246632472321,0.398941738097406,-1.34618279552997,-0.503546450024234,-1.27643911932679
0.0209093471896901,1622.31,"iron.mg","Iron","Belize","GUZFR2",2020,"atoll","fore reef","gear restriction",-1.11873938052658,0.762855536855991,1.56906908295362,-0.278496854068342,1.98998067972954,0.338495108034097,-1.34618279552997,-0.503823601034509,-1.65097408262477
0.0262536507224526,5128.59,"iron.mg","Iron","Belize","GUZFR4",2020,"atoll","fore reef","gear restriction",-0.323746770720357,1.56643204750914,1.4873206929026,-0.583094548983714,0.0456406189709278,0.267423684236889,-1.34618279552997,-0.503823601034509,-1.83449331779421
0.0341249242801014,419.6925,"iron.mg","Iron","Belize","GUZPR1",2019,"patch","back reef","gear restriction",-1.04512895369267,0.620393219177871,0.919947938143754,-0.573397618621239,-1.94616524797257,0.398942035173841,-1.34618279552997,-0.503546450024234,-1.27643909856599
0.0198325506503681,5122.13666666667,"iron.mg","Iron","Belize","GUZPR1",2020,"patch","back reef","gear restriction",-1.04512895369267,0.620393219177871,0.919947938143754,-0.573397618621239,-1.94616524797257,0.398942035173841,-1.34618279552997,-0.503546450024234,-1.27643909856599
