"nutrient","nutrient_lab","country","management","reef_type","reef_zone","management_rules","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore_detritivore","invertivore_mobile","omnivore","other","piscivore","planktivore"
"omega3.g","Omega-3
fatty acids","Belize","Conservation zone","atoll","fore reef","no-take",-0.496862519586767,1.31011633656879,0.664350030547655,-0.512471485892483,-0.635148241920038,1.81346534766343,-0.238754458026624,-0.451452332534111,-0.678920571440132,-0.44120718806963,0.339098124764324,0.0781322830290933,0,0.15886399872209,0.40416806447679,0.0197375290077028
"omega3.g","Omega-3
fatty acids","Belize","Conservation zone","patch","back reef","no-take",-1.02104278550494,0.808128938800269,0.226621819067365,-0.559608621594862,-0.825785743746209,-1.85155299839507,-0.238754458026624,-0.451452332534111,-0.678920571440132,-0.44120718806963,0.339098124764324,0.0781322830290933,0,0.15886399872209,0.40416806447679,0.0197375290077028
"omega3.g","Omega-3
fatty acids","Belize","General use zone","atoll","fore reef","restriction",-0.838102811298899,0.997404752785525,1.75361263104922,-0.384417440424662,-0.373124998377327,1.02144739731554,-0.251289888342197,-0.451452332534111,-0.678747679662003,-0.442377079236729,0.207607457055416,0.0869377192406729,0,0.223925784250113,0.457230721687095,0.0242983177667032
"omega3.g","Omega-3
fatty acids","Belize","General use zone","patch","back reef","restriction",-1.09597261331553,0.445722434708716,0.578708549455987,-0.557511184643234,-0.819173169776677,-2.08168765050793,-0.251289888342197,-0.451452332534111,-0.678747679662003,-0.442377079236729,0.207607457055416,0.0869377192406729,0,0.223925784250113,0.457230721687095,0.0242983177667032
"omega3.g","Omega-3
fatty acids","Belize","Wilderness zone","atoll","fore reef","no-take",-0.984879350902251,1.62706458406497,-0.571478054964878,-0.561264492872463,-0.839311463229343,1.7375554852748,-0.110377499112536,-0.451452332534111,-0.672737109897727,-0.44319173845438,0.389633108391214,0.0692578292191441,0,0.11267606220425,0.428433000185392,0
"omega3.g","Omega-3
fatty acids","Belize","Wildnerness zone","atoll","fore reef","no-take",-0.671311289022363,0.929961646652847,0.467937633239078,-0.535432900941886,-0.714123415124337,1.08638415088363,-0.109135426139668,-0.451452332534111,-0.671069478381074,-0.442586981710568,0.361580762529879,0.0662804408017748,0,0.0490978700684418,0.522606868010041,0.000434058589863538
"omega3.g","Omega-3
fatty acids","Fiji","Adavaci_LMMA","fringing","fore reef","restriction",-1.31846239545532,-0.382488068954537,0.334280164084791,-0.296325088456282,2.4068612127228,-0.805800696142224,-0.697719086137132,-0.405491587238386,-0.635162178490593,-0.363523982254306,0.186113603509108,0.221754462130503,0.30783305352054,0.0177953672802008,0.103276124572672,0.163227388986976
"omega3.g","Omega-3
fatty acids","Fiji","Adavaci_LMMA","patch","fore reef","restriction",-1.45978030342053,-0.909437431301875,-0.874129831008763,-0.561264492872463,1.47538999765097,0.420782426810666,-0.697719086137132,-0.405491587238386,-0.635162178490593,-0.363523982254306,0.186113603509108,0.221754462130503,0.30783305352054,0.0177953672802008,0.103276124572672,0.163227388986976
"omega3.g","Omega-3
fatty acids","Fiji","Bu_LMMA","fringing","fore reef","restriction",-0.777892450199402,-0.461496121979236,-0.570828909099745,-0.35653858945996,-0.0524424855408431,0.196783423340927,1.54556411476818,-0.394001642789904,-0.496493940771246,-0.124750417020394,0.47775712402686,0.170798433989887,0.124033086889375,0.0069852912594005,0.122599472048243,0.0978265917862357
"omega3.g","Omega-3
fatty acids","Fiji","Bua_LMMA","fringing","fore reef","restriction",0.572043695220907,0.596524762003685,-1.22182234323341,0.354763497896483,-0.0426465856727552,-0.728237351602556,-0.459745241574226,-0.201533316072478,-0.00841658040219852,-0.378968551610417,0.268382837840343,0.292690678674008,0.183444679077296,0.0121587985132718,0.0511032353339027,0.192219770561179
"omega3.g","Omega-3
fatty acids","Fiji","Bua_Tabu","fringing","fore reef","restriction",0.501283655467225,-0.661191838609779,-1.12423408150843,0.0277841162795125,1.22952247460201,-0.648268942115921,-0.456196324414644,-0.183506713642435,0.0141070895291032,-0.333274381692255,0.353744873182661,0.413972194557022,0.124969980355584,0.0168717027928004,0.0625773767545595,0.0278638723573728
"omega3.g","Omega-3
fatty acids","Fiji","Dama_Open","patch","back reef","restriction",-0.863273168296994,-0.0503107329767827,-0.800526676762156,-0.0532431849044362,-0.0277682942413079,-0.131179978518134,-0.441792402762036,-0.218195237223274,-0.0970103917624177,-0.366031780205481,0.417056623971571,0.313874032983242,0.0280982320427108,0.0134693588546879,0.0513537556880129,0.176147996459775
"omega3.g","Omega-3
fatty acids","Fiji","Dama_Open","patch","fore reef","restriction",-0.964257853602606,-0.061646671019457,-0.727472799786046,0.23355372037608,0.858617189220068,-0.089692608182963,-0.441792402762036,-0.218195237223274,-0.0970103917624177,-0.366031780205481,0.417056623971571,0.313874032983242,0.0280982320427108,0.0134693588546879,0.0513537556880129,0.176147996459775
"omega3.g","Omega-3
fatty acids","Fiji","Dama_Tabu","patch","back reef","restriction",1.05725539638901,-0.932109307387223,-1.27675007028312,0.807147530937112,0.303160975779369,-0.282699070177021,-0.454421865834853,-0.174493419454756,0.025368924494754,-0.310427297982573,0.489629279813293,0.359251160032127,0.0241037253032132,0.00952593316187816,0.0456009394319007,0.0718889622575876
