,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
"β0_managenc[0,0]",0.135,0.985,-1.767,2.036,0.014,0.019,5022.0,2249.0,1.0,Fijino-take,herbivore-detritivore
"β0_managenc[0,1]",0.031,0.972,-1.966,1.905,0.014,0.019,4802.0,2157.0,1.0,Fijino-take,herbivore-macroalgae
"β0_managenc[0,2]",0.076,0.992,-1.882,2.002,0.013,0.021,6146.0,2213.0,1.0,Fijino-take,invertivore-mobile
"β0_managenc[0,3]",0.036,0.967,-1.897,1.864,0.015,0.017,4230.0,2400.0,1.0,Fijino-take,piscivore
"β0_managenc[0,4]",0.023,1.007,-2.021,1.902,0.015,0.022,4649.0,1967.0,1.0,Fijino-take,planktivore
"β0_managenc[0,5]",0.001,0.962,-1.845,1.872,0.014,0.019,4719.0,2327.0,1.0,Fijino-take,omnivore
"β0_managenc[1,0]",-0.058,0.958,-1.882,1.893,0.014,0.018,4918.0,2044.0,1.0,Fijirestriction,herbivore-detritivore
"β0_managenc[1,1]",-0.018,0.965,-1.875,1.881,0.015,0.019,3895.0,2004.0,1.0,Fijirestriction,herbivore-macroalgae
"β0_managenc[1,2]",-0.046,1.023,-1.97,1.995,0.014,0.019,5226.0,2263.0,1.0,Fijirestriction,invertivore-mobile
"β0_managenc[1,3]",-0.06,0.999,-1.941,1.993,0.013,0.022,5466.0,2030.0,1.0,Fijirestriction,piscivore
"β0_managenc[1,4]",-0.083,0.993,-2.03,1.857,0.014,0.02,5349.0,2093.0,1.0,Fijirestriction,planktivore
"β0_managenc[1,5]",0.031,0.982,-1.834,1.98,0.013,0.022,5522.0,2131.0,1.0,Fijirestriction,omnivore
"β0_managenc[2,0]",-0.046,0.988,-1.96,1.938,0.013,0.022,5996.0,2074.0,1.0,Madagascarno-take,herbivore-detritivore
"β0_managenc[2,1]",0.009,1.004,-1.888,2.026,0.013,0.021,5776.0,2198.0,1.0,Madagascarno-take,herbivore-macroalgae
"β0_managenc[2,2]",-0.072,1.003,-2.041,1.844,0.016,0.021,4058.0,2119.0,1.0,Madagascarno-take,invertivore-mobile
"β0_managenc[2,3]",0.024,0.974,-1.9,1.84,0.013,0.02,6068.0,2221.0,1.0,Madagascarno-take,piscivore
"β0_managenc[2,4]",-0.056,0.963,-1.977,1.789,0.014,0.02,4777.0,1949.0,1.0,Madagascarno-take,planktivore
"β0_managenc[2,5]",-0.026,0.963,-1.962,1.734,0.012,0.019,6200.0,2272.0,1.0,Madagascarno-take,omnivore
"β0_managenc[3,0]",0.037,0.995,-1.957,1.994,0.013,0.02,6153.0,2235.0,1.0,Madagascaropen-access,herbivore-detritivore
"β0_managenc[3,1]",-0.076,0.988,-2.069,1.762,0.013,0.021,5537.0,1947.0,1.01,Madagascaropen-access,herbivore-macroalgae
"β0_managenc[3,2]",0.09,0.997,-1.943,1.913,0.014,0.02,5067.0,2191.0,1.0,Madagascaropen-access,invertivore-mobile
"β0_managenc[3,3]",-0.035,0.973,-2.072,1.729,0.012,0.022,6287.0,2210.0,1.0,Madagascaropen-access,piscivore
"β0_managenc[3,4]",0.08,0.999,-1.956,1.957,0.015,0.021,4526.0,1926.0,1.0,Madagascaropen-access,planktivore
"β0_managenc[3,5]",-0.017,0.984,-1.985,1.841,0.015,0.02,4104.0,1737.0,1.0,Madagascaropen-access,omnivore
"β0_managenc[4,0]",-0.024,1.01,-1.934,1.99,0.014,0.023,4981.0,1986.0,1.0,Madagascarrestriction,herbivore-detritivore
"β0_managenc[4,1]",0.041,1.02,-1.916,1.975,0.013,0.021,5844.0,2129.0,1.0,Madagascarrestriction,herbivore-macroalgae
"β0_managenc[4,2]",-0.021,0.967,-1.842,1.904,0.013,0.019,5229.0,2219.0,1.0,Madagascarrestriction,invertivore-mobile
"β0_managenc[4,3]",0.017,0.979,-2.026,1.784,0.012,0.021,6084.0,1949.0,1.0,Madagascarrestriction,piscivore
"β0_managenc[4,4]",0.004,0.977,-1.787,2.037,0.014,0.021,4763.0,2066.0,1.0,Madagascarrestriction,planktivore
"β0_managenc[4,5]",0.014,0.972,-1.786,1.955,0.015,0.02,4231.0,1925.0,1.0,Madagascarrestriction,omnivore
"β0_managenc[5,0]",-0.008,0.94,-1.908,1.777,0.012,0.019,6432.0,2142.0,1.0,Solomon Islandsno-take,herbivore-detritivore
"β0_managenc[5,1]",0.041,0.989,-1.837,1.978,0.013,0.02,5556.0,2268.0,1.0,Solomon Islandsno-take,herbivore-macroalgae
"β0_managenc[5,2]",-0.018,0.995,-1.914,1.902,0.014,0.024,5069.0,1780.0,1.0,Solomon Islandsno-take,invertivore-mobile
"β0_managenc[5,3]",0.011,1.003,-2.107,1.868,0.013,0.02,6082.0,2376.0,1.0,Solomon Islandsno-take,piscivore
"β0_managenc[5,4]",0.093,1.029,-1.957,1.956,0.015,0.023,4996.0,2001.0,1.0,Solomon Islandsno-take,planktivore
"β0_managenc[5,5]",0.016,0.961,-1.809,1.961,0.015,0.018,4355.0,2166.0,1.0,Solomon Islandsno-take,omnivore
