,mean,sd,hdi_25%,hdi_75%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],0.465,1.012,-0.072,1.238,0.043,0.03,553.0,1005.0,1.01,intercept[0],herbivore-detritivore
intercept[1],-0.457,1.009,-1.262,0.118,0.046,0.032,492.0,1205.0,1.01,intercept[1],herbivore-macroalgae
intercept[2],0.605,0.992,-0.196,1.176,0.044,0.031,503.0,832.0,1.0,intercept[2],invertivore-mobile
intercept[3],0.086,0.975,-0.587,0.745,0.038,0.027,673.0,1309.0,1.0,intercept[3],piscivore
intercept[4],0.874,0.995,0.25,1.564,0.039,0.027,663.0,1165.0,1.0,intercept[4],planktivore
intercept[5],-0.195,0.974,-0.714,0.599,0.044,0.031,502.0,1375.0,1.0,intercept[5],omnivore
hard_coral[0],0.061,0.187,-0.041,0.209,0.004,0.003,1858.0,2161.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],0.15,0.198,0.003,0.27,0.004,0.003,2364.0,2451.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.234,0.179,-0.368,-0.133,0.004,0.003,2107.0,2365.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.22,0.201,-0.369,-0.094,0.004,0.003,2017.0,2417.0,1.0,hard_coral[3],piscivore
hard_coral[4],-0.042,0.174,-0.171,0.06,0.004,0.003,2310.0,2384.0,1.0,hard_coral[4],planktivore
hard_coral[5],-0.029,0.193,-0.153,0.106,0.004,0.003,2161.0,2163.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.017,0.157,-0.115,0.095,0.004,0.003,1791.0,2182.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],0.339,0.159,0.233,0.447,0.003,0.002,2814.0,2185.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],0.031,0.151,-0.079,0.124,0.003,0.003,2020.0,2025.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.354,0.163,-0.468,-0.25,0.003,0.002,2268.0,2546.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.234,0.15,-0.323,-0.123,0.003,0.002,2138.0,2029.0,1.0,macroalgae[4],planktivore
macroalgae[5],0.026,0.176,-0.096,0.135,0.004,0.003,2099.0,2201.0,1.0,macroalgae[5],omnivore
bare_sub[0],-0.043,0.144,-0.115,0.078,0.003,0.002,2101.0,1852.0,1.0,bare_sub[0],herbivore-detritivore
bare_sub[1],0.098,0.174,0.0,0.232,0.003,0.003,2868.0,2150.0,1.0,bare_sub[1],herbivore-macroalgae
bare_sub[2],-0.112,0.171,-0.209,0.012,0.004,0.003,2294.0,2226.0,1.0,bare_sub[2],invertivore-mobile
bare_sub[3],-0.148,0.173,-0.242,-0.011,0.003,0.003,2664.0,1920.0,1.0,bare_sub[3],piscivore
bare_sub[4],0.151,0.191,0.03,0.284,0.004,0.003,2330.0,2225.0,1.0,bare_sub[4],planktivore
bare_sub[5],0.066,0.16,-0.021,0.185,0.003,0.002,2272.0,2054.0,1.0,bare_sub[5],omnivore
turf[0],0.044,0.172,-0.087,0.136,0.004,0.003,2153.0,2281.0,1.0,turf[0],herbivore-detritivore
turf[1],0.126,0.172,0.031,0.259,0.004,0.002,2407.0,2204.0,1.0,turf[1],herbivore-macroalgae
turf[2],0.007,0.161,-0.077,0.141,0.004,0.003,2022.0,2072.0,1.0,turf[2],invertivore-mobile
turf[3],-0.099,0.171,-0.212,0.016,0.004,0.003,2206.0,2420.0,1.0,turf[3],piscivore
turf[4],-0.148,0.16,-0.257,-0.041,0.003,0.002,2194.0,2450.0,1.0,turf[4],planktivore
turf[5],-0.046,0.181,-0.133,0.112,0.004,0.003,2448.0,2286.0,1.0,turf[5],omnivore
rubble[0],-0.255,0.168,-0.375,-0.149,0.004,0.003,2008.0,2566.0,1.0,rubble[0],herbivore-detritivore
rubble[1],-0.077,0.202,-0.219,0.048,0.004,0.003,2821.0,2332.0,1.0,rubble[1],herbivore-macroalgae
rubble[2],0.076,0.176,-0.05,0.187,0.004,0.003,1785.0,2229.0,1.0,rubble[2],invertivore-mobile
rubble[3],-0.303,0.178,-0.443,-0.197,0.003,0.002,2688.0,2101.0,1.0,rubble[3],piscivore
rubble[4],0.357,0.166,0.233,0.457,0.004,0.003,1789.0,2127.0,1.0,rubble[4],planktivore
rubble[5],-0.119,0.17,-0.219,0.009,0.004,0.003,2374.0,2209.0,1.0,rubble[5],omnivore
population[0],0.267,0.171,0.158,0.38,0.003,0.003,2410.0,2125.0,1.0,population[0],herbivore-detritivore
population[1],-0.05,0.186,-0.189,0.063,0.003,0.004,3399.0,2193.0,1.0,population[1],herbivore-macroalgae
population[2],0.167,0.18,0.021,0.26,0.004,0.003,2207.0,1703.0,1.0,population[2],invertivore-mobile
population[3],-0.202,0.188,-0.331,-0.081,0.004,0.003,2621.0,2471.0,1.0,population[3],piscivore
population[4],-0.343,0.199,-0.479,-0.219,0.004,0.003,2170.0,1757.0,1.0,population[4],planktivore
population[5],0.232,0.174,0.126,0.364,0.003,0.002,2974.0,2303.0,1.0,population[5],omnivore
gravity[0],0.011,0.151,-0.085,0.117,0.004,0.003,1830.0,2132.0,1.0,gravity[0],herbivore-detritivore
gravity[1],0.134,0.179,-0.015,0.217,0.003,0.003,2981.0,2271.0,1.0,gravity[1],herbivore-macroalgae
gravity[2],0.167,0.162,0.039,0.254,0.004,0.003,2051.0,2038.0,1.0,gravity[2],invertivore-mobile
gravity[3],0.117,0.184,0.004,0.25,0.004,0.003,2148.0,2653.0,1.0,gravity[3],piscivore
gravity[4],0.153,0.18,0.011,0.252,0.003,0.003,2802.0,2407.0,1.0,gravity[4],planktivore
gravity[5],-0.249,0.18,-0.382,-0.144,0.003,0.003,2650.0,2347.0,1.0,gravity[5],omnivore
sediment[0],0.115,0.186,-0.044,0.21,0.004,0.003,2276.0,2256.0,1.0,sediment[0],herbivore-detritivore
sediment[1],-0.0,0.19,-0.089,0.161,0.004,0.003,2322.0,1828.0,1.0,sediment[1],herbivore-macroalgae
sediment[2],0.031,0.171,-0.086,0.143,0.004,0.003,1846.0,2081.0,1.0,sediment[2],invertivore-mobile
sediment[3],-0.07,0.169,-0.188,0.04,0.003,0.003,2446.0,2211.0,1.0,sediment[3],piscivore
sediment[4],0.072,0.18,-0.061,0.181,0.004,0.003,2066.0,2148.0,1.0,sediment[4],planktivore
sediment[5],-0.074,0.173,-0.203,0.032,0.003,0.003,2524.0,2323.0,1.0,sediment[5],omnivore
nut_load[0],0.049,0.166,-0.046,0.178,0.004,0.003,2138.0,2054.0,1.0,nut_load[0],herbivore-detritivore
nut_load[1],-0.134,0.173,-0.234,-0.01,0.003,0.003,2579.0,2251.0,1.0,nut_load[1],herbivore-macroalgae
nut_load[2],-0.253,0.162,-0.332,-0.115,0.003,0.002,2647.0,2276.0,1.0,nut_load[2],invertivore-mobile
nut_load[3],-0.004,0.17,-0.118,0.107,0.003,0.003,2496.0,2243.0,1.0,nut_load[3],piscivore
nut_load[4],0.077,0.182,-0.049,0.188,0.004,0.003,2616.0,2346.0,1.0,nut_load[4],planktivore
nut_load[5],0.02,0.187,-0.063,0.186,0.004,0.003,2671.0,2454.0,1.0,nut_load[5],omnivore
depth[0],-0.002,0.154,-0.107,0.103,0.004,0.003,1870.0,2015.0,1.0,depth[0],herbivore-detritivore
depth[1],0.168,0.173,0.015,0.247,0.003,0.003,2818.0,2323.0,1.0,depth[1],herbivore-macroalgae
depth[2],-0.064,0.171,-0.16,0.061,0.005,0.003,1369.0,1971.0,1.0,depth[2],invertivore-mobile
depth[3],0.209,0.164,0.082,0.303,0.003,0.003,2244.0,2280.0,1.0,depth[3],piscivore
depth[4],0.294,0.153,0.163,0.371,0.004,0.003,1593.0,1734.0,1.0,depth[4],planktivore
depth[5],0.077,0.17,-0.019,0.207,0.004,0.003,2132.0,2537.0,1.0,depth[5],omnivore
"reeftype_x[0,0]",-0.221,0.531,-0.54,0.185,0.019,0.013,783.0,1221.0,1.0,barrier,herbivore-detritivore
"reeftype_x[0,1]",-0.126,0.535,-0.452,0.259,0.019,0.013,802.0,1575.0,1.0,barrier,herbivore-macroalgae
"reeftype_x[0,2]",-0.093,0.537,-0.508,0.196,0.022,0.015,611.0,920.0,1.01,barrier,invertivore-mobile
"reeftype_x[0,3]",-0.223,0.529,-0.629,0.097,0.018,0.013,880.0,1637.0,1.0,barrier,piscivore
"reeftype_x[0,4]",-0.378,0.535,-0.75,-0.037,0.019,0.013,786.0,1295.0,1.0,barrier,planktivore
"reeftype_x[0,5]",0.296,0.528,-0.135,0.574,0.017,0.012,938.0,1522.0,1.0,barrier,omnivore
"reeftype_x[1,0]",0.266,0.518,-0.239,0.481,0.019,0.013,760.0,1203.0,1.0,fringing,herbivore-detritivore
"reeftype_x[1,1]",0.219,0.522,-0.067,0.644,0.019,0.014,737.0,1547.0,1.0,fringing,herbivore-macroalgae
"reeftype_x[1,2]",0.409,0.535,0.042,0.736,0.022,0.016,594.0,1036.0,1.01,fringing,invertivore-mobile
"reeftype_x[1,3]",0.152,0.519,-0.104,0.601,0.017,0.012,898.0,1685.0,1.0,fringing,piscivore
"reeftype_x[1,4]",-0.402,0.529,-0.71,-0.023,0.019,0.013,778.0,1312.0,1.0,fringing,planktivore
"reeftype_x[1,5]",0.335,0.513,-0.028,0.669,0.017,0.012,947.0,1693.0,1.0,fringing,omnivore
"reeftype_x[2,0]",-0.017,0.645,-0.42,0.448,0.018,0.013,1309.0,1983.0,1.0,lagoon,herbivore-detritivore
