MaxSizeTL,Diet,Position,Species,Family,MaxSizeTL_MB18,Max_Size_MB19,Length_Max_TL_Chagos,MaxSizeTL_OG,MaxSizeTL_Prod,Diet_MB18,Diet_MB19,Diet_Chagos,Diet_OG,Position_MB18,Position_MB19,Position_OG,a_MB18,b_MB18,a_MB19,b_MB19,a_Chagos,b_Chagos,a_Bayes_Fishbase,b_Bayes_Fishbase,a,b,sstmean,Kmax,Kmax_lowqt,Kmax_upqt
15,Plktiv,BtPlAs,Abudefduf_sexfasciatus,Pomacentridae,NA,16,19,20,16,NA,Plktiv,Planktivore,Plktiv,NA,BtPlAs,BtPlDw,NA,NA,0.024,3.06,0.0213,3.152,0.02138,3.04,0.02138,3.04,28,0.398,0.237,0.641
25,Omnivr,BtPlDw,Abudefduf_sordidus,Pomacentridae,NA,NA,24,25,24,NA,NA,Omnivore,Omnivr,NA,NA,BtPlDw,NA,NA,NA,NA,0.0226,3.132,0.0195,3.03,0.0195,3.03,28,0.287,0.184,0.427
20,Plktiv,BtPlDw,Abudefduf_vaigiensis,Pomacentridae,20,20,20,20,20,Planktivore,Plktiv,Planktivore,Plktiv,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.01862,3.04,0.019,3.04,0.03,2.8,0.02455,3.01,0.02455,3.01,28,0.362,0.236,0.563
50,HerDet,BtPlDw,Acanthurus_leucosternon,Acanthuridae,54,NA,54,50,54,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,0.0195,2.94,NA,NA,0.0286,2.921,0.01905,2.94,0.01905,2.94,28,0.126,0.092,0.178
40,HerDet,BtPlDw,Acanthurus_lineatus,Acanthuridae,38,38,38,40,38,Herbivore-detritivore,HerDet,Herbivore,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.0195,3.03,0.021,3.01,0.0126,3.064,0.01778,2.97,0.01778,2.97,28,0.154,0.109,0.225
50,Plktiv,BtPlDw,Acanthurus_mata,Acanthuridae,50,NA,50,50,50,Planktivore,NA,Planktivore,Plktiv,Bentho-pelagic Reef dwelling,NA,BtPlDw,0.02291,2.97,NA,NA,0.0269,2.945,0.02512,2.94,0.02512,2.94,28,0.139,0.095,0.199
40,HerDet,BtPlDw,Acanthurus_nigricauda,Acanthuridae,40,40,40,40,40,Herbivore-detritivore,HerDet,Herbivore,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.02188,2.96,0.028,2.94,0.0261,3.024,0.02089,2.95,0.02089,2.95,28,0.154,0.109,0.225
20,HerDet,BtPlDw,Acanthurus_nigrofuscus,Acanthuridae,21,21,21,20,21,Herbivore-detritivore,HerDet,Herbivore,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.02344,2.97,0.027,3.02,0.0301,2.967,0.02089,2.96,0.02089,2.96,28,0.327,0.223,0.483
30,HerDet,BtPlDw,Acanthurus_tennentii,Acanthuridae,NA,NA,31,30,31,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.1317,2.392,0.01905,2.95,0.01905,2.95,28,0.28,0.206,0.397
25,HerDet,BtPlDw,Acanthurus_triostegus,Acanthuridae,27,NA,27,25,27,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,0.02188,2.96,NA,NA,0.1317,2.392,0.02042,2.96,0.02042,2.96,28,0.266,0.184,0.376
