"country","zone_id","gears_category","times_category","fishing_intensity","size","age","site"
"Fiji","Nabukadra tabu","Limited","Moderate","Medium",23.4,"6","NTRFT4"
"Fiji","Nabukadra tabu","Limited","Moderate","Medium",23.4,"6","NTRFT5"
"Fiji","Nabukadra tabu","Limited","Moderate","Medium",23.4,"6","NTRFT7"
"Fiji","Nabukadra tabu","Limited","Moderate","Medium",23.4,"6","NTRFT8"
"Fiji","Nakali reef tabu","Limited","Limited","Moderate- people in village and district respect it and due to location its difficult for poaching. However, there are occasionally infringements.",128.5,"7","NP1"
"Fiji","Nakali reef tabu","Limited","Limited","Moderate- people in village and district respect it and due to location its difficult for poaching. However, there are occasionally infringements.",128.5,"7","NP2"
"Solomon Islands","Kalina Marine Tenure Area","None","None","Medium",3500,"NA","P10"
"Solomon Islands","Kalina Marine Tenure Area","None","None","Medium",3500,"NA","P11"
"Solomon Islands","Kalina Marine Tenure Area","None","None","Medium",3500,"NA","P12"
"Solomon Islands","Kalina Marine Tenure Area","None","None","Medium",3500,"NA","P4"
"Solomon Islands","Kalina Marine Tenure Area","None","None","Medium",3500,"NA","P6"
"Solomon Islands","Kalina Marine Tenure Area","None","None","Medium",3500,"NA","P7"
"Solomon Islands","Peava Marine Tenure Area","Limited","Limited","Medium",3600,"NA","Peava 1"
"Solomon Islands","Peava Marine Tenure Area","Limited","Limited","Medium",3600,"NA","Peava 2"
"Solomon Islands","Rarumana Marine Tenure Area","Limited","None","Medium",2900,"NA","P13"
"Solomon Islands","Rarumana Marine Tenure Area","Limited","None","Medium",2900,"NA","P14"
"Solomon Islands","Rarumana Marine Tenure Area","Limited","None","Medium",2900,"NA","P15"
"Solomon Islands","Rarumana Marine Tenure Area","Limited","None","Medium",2900,"NA","P16"
"Solomon Islands","Rarumana Marine Tenure Area","Limited","None","Medium",2900,"NA","P17"
"Solomon Islands","Rarumana Marine Tenure Area","Limited","None","Medium",2900,"NA","P18"
"Fiji","Bureta qoliqoli","Limited","Limited","Moderate - fish only certain days",2689,"NA","BU03"
"Fiji","Bureta qoliqoli","Limited","Limited","Moderate - fish only certain days",2689,"NA","BU08"
"Fiji","Bureta qoliqoli","Limited","Limited","Moderate - fish only certain days",2689,"NA","BU09"
"Fiji","Nakorotobu qoliqoli","Limited","Limited","High intensity",42618.5,"NA","NTRFN1"
"Fiji","Nakorotobu qoliqoli","Limited","Limited","High intensity",42618.5,"NA","NTRFN7"
"Fiji","Nasinu and Lovoni qoliqoli","Limited","Limited","medium",1888.1,"NA","NA05"
"Fiji","Nasinu and Lovoni qoliqoli","Limited","Limited","medium",1888.1,"NA","NAO1"
"Fiji","Nasinu and Lovoni qoliqoli","Limited","Limited","medium",1888.1,"NA","NAO3"
"Fiji","Bua LMMA","Moderate","Moderate","High intensity for invertebrate (sea cucumber), moderate for reef fish",37264,"NA","BUA04"
"Fiji","Bua LMMA","Moderate","Moderate","High intensity for invertebrate (sea cucumber), moderate for reef fish",37264,"NA","BUA24A"
"Fiji","Bua LMMA","Moderate","Moderate","High intensity for invertebrate (sea cucumber), moderate for reef fish",37264,"NA","BUA25"
"Madagascar","Ankivonjy No-Take","All gears prohibited","Closed year-round","None",14332,"5","Ambatomilay_18"
"Madagascar","Ankivonjy No-Take","All gears prohibited","Closed year-round","None",14332,"5","Ankaso_15"
"Madagascar","Ankivonjy No-Take","All gears prohibited","Closed year-round","None",14332,"5","Ankivonjy_14"
"Madagascar","Ankivonjy No-Take","All gears prohibited","Closed year-round","None",14332,"5","Kisimani_16"
"Mauritius","South East MPA partial","Limited","Moderate","Low",4300,"12","NA"
"Mauritius","Mauritius open access Beau Vallon","None","None","Medium",0,"NA","Anenome/Mahebourg"
"Mauritius","Mauritius open access Beau Vallon","None","None","Medium",0,"NA","Shandrani/BlueBay"
"Mauritius","Mauritius open access Belombre","None","None","Medium",0,"NA","Belombre lagoon"
"Mauritius","Mauritius open access Belombre","None","None","Medium",0,"NA","Belombre/Edge"
"Mauritius","Mauritius open access Flic En Flac","None","None","NA",0,"NA","Flic&Flac Reef lagoon"
"Mauritius","Mauritius open access Flic En Flac","None","None","NA",0,"NA","Flic&Flac ReefSlope"
"Mauritius","Mauritius open access Pointe Aux Piments","None","None","Medium",0,"NA","Chilli drop"
"Indonesia","Gita Nada MPA no ecol","None","None","High",0,"0.5","NA"
"Mauritius","St Francois control","None","None","NA",0,"NA","NA"
