,country,site,longitude,latitude,score,scorecn,scorecy,scorepfc,scoreth,scoretr,reefpct,grav_NC,sediment,nutrient,pop_count,num_ports,reef_value
24,Fiji,NV1,179.3578,-17.294,0.04001,0.94839,-0.02156,0.20938,-0.1441,0.12538,0.0324,0.619921626,0,0,2271.165462,0,42
25,Fiji,NV4,179.3684,-17.3146,0.03759,0.88089,-0.02164,0.20816,-0.13281,0.07011,0.0076,0.681043387,0,0,2516.412609,0,11
26,Fiji,TF1,179.4471,-17.30246,0.03514,0.7646,-0.01697,0.20996,-0.12828,0.13494,0.0576,0.498812097,37.1288147,0.000443423,2018.451359,0,0
27,Fiji,TF2,179.45132,-17.2996,0.0284,0.65047,-0.00944,0.20933,-0.15324,0.07638,0.0276,0.587599329,32.32932663,0.000428388,835.1522141,0,0
28,Fiji,TF3,179.44435,-17.29677,0.03514,0.7646,-0.01697,0.20996,-0.12828,0.13494,0.0576,0.498812097,37.1288147,0.000443423,2018.451359,0,0
29,Fiji,TF4,179.43878,-17.27405,0.03514,0.7646,-0.01697,0.20996,-0.12828,0.13494,0.0576,0.498812097,37.1288147,0.000443423,2018.451359,0,0
30,Fiji,TF5,179.43959,-17.26915,0.03514,0.7646,-0.01697,0.20996,-0.12828,0.13494,0.0576,0.498812097,37.1288147,0.000443423,2018.451359,0,0
31,Fiji,TT1,179.44206,-17.29116,0.03514,0.7646,-0.01697,0.20996,-0.12828,0.13494,0.0576,0.498812097,37.1288147,0.000443423,2018.451359,0,0
32,Fiji,TT2,179.44337,-17.287,0.03514,0.7646,-0.01697,0.20996,-0.12828,0.13494,0.0576,0.498812097,37.1288147,0.000443423,2018.451359,0,0
33,Fiji,TT3,179.4375,-17.28759,0.03514,0.7646,-0.01697,0.20996,-0.12828,0.13494,0.0576,0.498812097,37.1288147,0.000443423,2018.451359,0,0
34,Fiji,V1,179.3944,-17.2403,0.03898,0.94839,-0.02147,0.21059,-0.16659,0.17058,0.04,0.616211541,34.72414017,0.000277659,1068.288219,0,39
35,Fiji,V2,179.3613,-17.2263,0.03898,0.94839,-0.02147,0.21059,-0.16659,0.17058,0.04,0.616211541,34.72414017,0.000277659,1068.288219,0,39
36,Fiji,V3,179.3589,-17.2569,0.04001,0.94839,-0.02156,0.20938,-0.1441,0.12538,0.0324,0.619921626,0,0,2271.165462,0,42
37,Fiji,V4,179.3447,-17.2554,0.03949,0.94839,-0.03962,0.2088,-0.13592,0.09338,0.0212,0.741031155,28.67778969,6.07E-05,252.7141037,0,36
38,Fiji,V5,179.3503,-17.2665,0.04001,0.94839,-0.02156,0.20938,-0.1441,0.12538,0.0324,0.619921626,0,0,2271.165462,0,42
39,Fiji,V6,179.3525,-17.2801,0.04001,0.94839,-0.02156,0.20938,-0.1441,0.12538,0.0324,0.619921626,0,0,2271.165462,0,42
40,Fiji,BU01,178.773994,-17.750976,0.02242,0.8736,-0.1866,0.18452,-0.21207,0.02244,0.4928,7.115872907,25.39134979,0.009424566,2298.174758,0,479
41,Fiji,BU03,178.59043,-17.734462,-0.02642,-0.28398,-0.1883,0.18427,-0.24603,-0.30692,0.13,8.524843058,61.36354828,0.033210434,3975.774075,0,0
42,Fiji,BU04,178.741848,-17.719583,-0.01234,-0.28398,-0.1866,0.18612,-0.12619,-0.03552,0.1316,6.960665162,47.75,0.013228872,2101.040375,0,65
43,Fiji,BU05,178.736464,-17.691456,-0.0069,-0.28398,-0.18636,0.18835,-0.08303,0.07859,0.0436,5.649633197,49.60815048,0.009785388,2230.739536,0,26
44,Fiji,BU07,178.761011,-17.630935,0.0433,0.97149,-0.17612,0.19118,-0.04171,0.19827,0.0212,1.964415766,0,0,6225.16342,0,29
45,Fiji,BU10,178.77931,-17.61911,0.0433,0.97149,-0.17612,0.19118,-0.04171,0.19827,0.0212,1.964415766,0,0,6225.16342,0,29
46,Fiji,LV01,178.79463,-17.61747,0.0433,0.97149,-0.17612,0.19118,-0.04171,0.19827,0.0212,1.964415766,0,0,6225.16342,0,29
47,Fiji,LV02,178.81602,-17.62546,0.04275,0.97149,-0.17612,0.19179,-0.05256,0.21696,0.0952,2.971754499,28.70783234,0.00413318,5936.682596,2,185
48,Fiji,LV03,178.82092,-17.63989,0.04275,0.97149,-0.17612,0.19179,-0.05256,0.21696,0.0952,2.971754499,28.70783234,0.00413318,5936.682596,2,185
49,Fiji,LV05,178.8392,-17.65785,0.04031,0.97149,-0.18636,0.18957,-0.07434,0.20812,0.0756,3.494548395,0,0,8096.506637,2,136
50,Fiji,LV07,178.744017,-17.655473,-0.0069,-0.28398,-0.18636,0.18835,-0.08303,0.07859,0.0436,5.649633197,49.60815048,0.009785388,2230.739536,0,26
51,Fiji,LV08,178.82516,-17.598,0.0501,1.09896,-0.166,0.19401,-0.02351,0.21342,0.0624,3.105389604,8.259588242,0.00234981,33.94339943,0,17
52,Fiji,LV12,178.85141,-17.56563,0.04694,1.09896,-0.16596,0.19461,-0.06156,0.20504,0.0028,3.389332724,3.251089811,0.001281563,16.56672859,0,2
53,Fiji,LV13,178.83603,-17.61565,0.04275,0.97149,-0.17612,0.19179,-0.05256,0.21696,0.0952,2.971754499,28.70783234,0.00413318,5936.682596,2,185
54,Fiji,LV14,178.846561,-17.665941,0.04031,0.97149,-0.18636,0.18957,-0.07434,0.20812,0.0756,3.494548395,0,0,8096.506637,2,136
55,Fiji,LV15,178.84181,-17.64949,0.04275,0.97149,-0.17612,0.19179,-0.05256,0.21696,0.0952,2.971754499,28.70783234,0.00413318,5936.682596,2,185
56,Fiji,LV16,178.82857,-17.65072,0.04031,0.97149,-0.18636,0.18957,-0.07434,0.20812,0.0756,3.494548395,0,0,8096.506637,2,136
