,mean,sd,hdi_25%,hdi_75%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],1.489,1.01,0.846,2.164,0.039,0.028,658.0,1479.0,1.01,intercept[0],herbivore-detritivore
intercept[1],1.633,1.003,0.867,2.217,0.036,0.025,784.0,1448.0,1.0,intercept[1],herbivore-macroalgae
intercept[2],1.306,0.989,0.69,2.03,0.036,0.026,738.0,1296.0,1.0,intercept[2],invertivore-mobile
intercept[3],1.314,1.01,0.496,1.86,0.036,0.025,795.0,1450.0,1.0,intercept[3],piscivore
intercept[4],1.712,1.013,1.047,2.408,0.038,0.027,697.0,1399.0,1.01,intercept[4],planktivore
intercept[5],1.279,0.978,0.66,1.999,0.037,0.026,718.0,1393.0,1.0,intercept[5],omnivore
hard_coral[0],0.07,0.141,-0.054,0.137,0.004,0.003,1199.0,1865.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],-0.078,0.14,-0.164,0.024,0.004,0.003,1304.0,1838.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.019,0.153,-0.126,0.074,0.004,0.003,1334.0,2068.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.083,0.144,-0.18,0.011,0.004,0.003,1474.0,2051.0,1.0,hard_coral[3],piscivore
hard_coral[4],-0.079,0.153,-0.161,0.044,0.005,0.003,984.0,1513.0,1.0,hard_coral[4],planktivore
hard_coral[5],-0.127,0.146,-0.243,-0.048,0.004,0.003,1419.0,1784.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.265,0.124,-0.348,-0.182,0.004,0.002,1253.0,2136.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],-0.226,0.126,-0.303,-0.135,0.004,0.003,1198.0,1524.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],-0.188,0.127,-0.279,-0.11,0.003,0.002,1395.0,1763.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.163,0.126,-0.257,-0.088,0.004,0.002,1272.0,2023.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.198,0.136,-0.28,-0.1,0.004,0.003,1142.0,1918.0,1.0,macroalgae[4],planktivore
macroalgae[5],-0.249,0.125,-0.346,-0.179,0.003,0.002,1298.0,1945.0,1.0,macroalgae[5],omnivore
bare_sub[0],0.094,0.129,0.014,0.185,0.003,0.002,1415.0,1850.0,1.0,bare_sub[0],herbivore-detritivore
bare_sub[1],0.196,0.124,0.124,0.289,0.004,0.003,1230.0,1830.0,1.0,bare_sub[1],herbivore-macroalgae
bare_sub[2],0.158,0.133,0.083,0.261,0.004,0.003,1301.0,1797.0,1.0,bare_sub[2],invertivore-mobile
bare_sub[3],0.165,0.127,0.078,0.248,0.004,0.003,1284.0,1956.0,1.0,bare_sub[3],piscivore
bare_sub[4],0.257,0.119,0.18,0.335,0.004,0.003,1130.0,1692.0,1.0,bare_sub[4],planktivore
bare_sub[5],0.199,0.126,0.112,0.279,0.003,0.002,1337.0,1685.0,1.0,bare_sub[5],omnivore
turf[0],0.089,0.128,-0.017,0.161,0.003,0.002,1508.0,2020.0,1.0,turf[0],herbivore-detritivore
turf[1],-0.005,0.131,-0.088,0.087,0.004,0.003,1229.0,1982.0,1.0,turf[1],herbivore-macroalgae
turf[2],0.132,0.132,0.036,0.214,0.004,0.003,1368.0,1956.0,1.0,turf[2],invertivore-mobile
turf[3],0.275,0.137,0.198,0.381,0.004,0.003,1494.0,1984.0,1.0,turf[3],piscivore
turf[4],0.263,0.13,0.181,0.359,0.004,0.003,1130.0,2099.0,1.0,turf[4],planktivore
turf[5],0.006,0.134,-0.095,0.081,0.004,0.002,1461.0,1633.0,1.0,turf[5],omnivore
rubble[0],-0.126,0.131,-0.221,-0.048,0.003,0.002,1409.0,2288.0,1.0,rubble[0],herbivore-detritivore
rubble[1],-0.216,0.143,-0.28,-0.085,0.004,0.003,1244.0,1805.0,1.0,rubble[1],herbivore-macroalgae
rubble[2],-0.216,0.14,-0.296,-0.105,0.004,0.003,1437.0,2027.0,1.0,rubble[2],invertivore-mobile
rubble[3],-0.14,0.139,-0.218,-0.028,0.004,0.003,1350.0,2259.0,1.0,rubble[3],piscivore
rubble[4],-0.049,0.126,-0.122,0.047,0.004,0.003,1177.0,1902.0,1.0,rubble[4],planktivore
rubble[5],-0.239,0.137,-0.318,-0.135,0.003,0.002,1526.0,2037.0,1.0,rubble[5],omnivore
population[0],0.051,0.139,-0.04,0.147,0.004,0.002,1564.0,2032.0,1.0,population[0],herbivore-detritivore
population[1],0.0,0.144,-0.108,0.086,0.004,0.003,1581.0,2115.0,1.0,population[1],herbivore-macroalgae
population[2],-0.126,0.14,-0.228,-0.037,0.004,0.003,1555.0,1928.0,1.0,population[2],invertivore-mobile
population[3],-0.055,0.131,-0.141,0.037,0.003,0.002,1695.0,1936.0,1.0,population[3],piscivore
population[4],0.298,0.135,0.195,0.378,0.003,0.002,1544.0,2103.0,1.0,population[4],planktivore
population[5],0.079,0.143,-0.028,0.163,0.004,0.002,1657.0,2030.0,1.0,population[5],omnivore
gravity[0],0.001,0.131,-0.094,0.081,0.004,0.003,1327.0,1932.0,1.0,gravity[0],herbivore-detritivore
gravity[1],-0.247,0.14,-0.339,-0.154,0.004,0.003,1130.0,1577.0,1.0,gravity[1],herbivore-macroalgae
gravity[2],-0.027,0.133,-0.113,0.058,0.004,0.003,1299.0,1688.0,1.0,gravity[2],invertivore-mobile
gravity[3],0.085,0.136,-0.017,0.168,0.004,0.003,1324.0,1896.0,1.0,gravity[3],piscivore
gravity[4],-0.146,0.123,-0.238,-0.076,0.004,0.002,1224.0,1928.0,1.0,gravity[4],planktivore
gravity[5],-0.053,0.134,-0.152,0.026,0.004,0.003,1388.0,1709.0,1.0,gravity[5],omnivore
sediment[0],0.047,0.141,-0.062,0.12,0.003,0.002,1641.0,2386.0,1.0,sediment[0],herbivore-detritivore
sediment[1],0.14,0.137,0.05,0.229,0.004,0.003,1439.0,1847.0,1.0,sediment[1],herbivore-macroalgae
sediment[2],0.034,0.137,-0.069,0.114,0.003,0.002,1696.0,2230.0,1.0,sediment[2],invertivore-mobile
sediment[3],0.1,0.144,-0.008,0.185,0.004,0.003,1518.0,2028.0,1.0,sediment[3],piscivore
sediment[4],-0.11,0.126,-0.177,-0.006,0.003,0.002,1383.0,1975.0,1.0,sediment[4],planktivore
sediment[5],-0.024,0.138,-0.094,0.092,0.004,0.003,1515.0,2002.0,1.0,sediment[5],omnivore
nut_load[0],0.011,0.136,-0.08,0.097,0.004,0.003,1239.0,2066.0,1.0,nut_load[0],herbivore-detritivore
nut_load[1],-0.105,0.145,-0.183,0.007,0.004,0.003,1154.0,2025.0,1.0,nut_load[1],herbivore-macroalgae
nut_load[2],-0.002,0.135,-0.074,0.105,0.004,0.003,1282.0,1971.0,1.0,nut_load[2],invertivore-mobile
nut_load[3],0.024,0.137,-0.06,0.123,0.004,0.003,1267.0,2084.0,1.0,nut_load[3],piscivore
nut_load[4],0.108,0.157,0.023,0.23,0.005,0.003,1109.0,1893.0,1.0,nut_load[4],planktivore
