,mean,sd,hdi_25%,hdi_75%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],1.42,1.033,0.642,2.059,0.05,0.035,426.0,1051.0,1.0,intercept[0],herbivore-detritivore
intercept[1],-0.396,1.041,-1.15,0.214,0.053,0.038,382.0,721.0,1.01,intercept[1],herbivore-macroalgae
intercept[2],0.323,1.03,-0.29,1.108,0.052,0.037,392.0,1024.0,1.0,intercept[2],invertivore-mobile
intercept[3],-0.183,1.018,-0.809,0.55,0.053,0.038,363.0,686.0,1.01,intercept[3],piscivore
intercept[4],0.826,1.007,0.244,1.558,0.044,0.031,531.0,986.0,1.0,intercept[4],planktivore
intercept[5],-0.29,0.972,-1.019,0.29,0.041,0.029,570.0,1304.0,1.0,intercept[5],omnivore
hard_coral[0],-0.065,0.176,-0.202,0.03,0.004,0.003,1834.0,2177.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],-0.007,0.203,-0.16,0.117,0.004,0.003,2652.0,2462.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.164,0.177,-0.312,-0.071,0.004,0.003,2061.0,2080.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.198,0.203,-0.333,-0.062,0.005,0.003,1820.0,2157.0,1.0,hard_coral[3],piscivore
hard_coral[4],-0.084,0.177,-0.205,0.037,0.005,0.003,1538.0,1765.0,1.0,hard_coral[4],planktivore
hard_coral[5],-0.073,0.191,-0.205,0.059,0.004,0.003,2002.0,1634.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.155,0.143,-0.255,-0.064,0.003,0.002,1758.0,2244.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],0.244,0.164,0.108,0.327,0.003,0.002,2790.0,2114.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],-0.021,0.156,-0.127,0.085,0.003,0.002,2224.0,2449.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.425,0.168,-0.521,-0.293,0.003,0.003,2339.0,2536.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.307,0.155,-0.392,-0.192,0.004,0.003,1869.0,1991.0,1.0,macroalgae[4],planktivore
macroalgae[5],-0.079,0.171,-0.195,0.035,0.004,0.003,2209.0,2177.0,1.0,macroalgae[5],omnivore
bare_sub[0],-0.112,0.138,-0.18,0.001,0.003,0.002,1950.0,2296.0,1.0,bare_sub[0],herbivore-detritivore
bare_sub[1],0.058,0.173,-0.04,0.192,0.003,0.003,2992.0,2421.0,1.0,bare_sub[1],herbivore-macroalgae
bare_sub[2],-0.138,0.172,-0.256,-0.02,0.003,0.003,2656.0,2285.0,1.0,bare_sub[2],invertivore-mobile
bare_sub[3],-0.219,0.179,-0.298,-0.055,0.003,0.003,2910.0,2323.0,1.0,bare_sub[3],piscivore
bare_sub[4],0.001,0.208,-0.114,0.168,0.004,0.003,2395.0,2318.0,1.0,bare_sub[4],planktivore
bare_sub[5],-0.029,0.156,-0.099,0.11,0.003,0.003,2126.0,2295.0,1.0,bare_sub[5],omnivore
turf[0],-0.041,0.158,-0.149,0.066,0.004,0.003,1503.0,1779.0,1.0,turf[0],herbivore-detritivore
turf[1],0.098,0.178,-0.055,0.181,0.004,0.003,2544.0,2514.0,1.0,turf[1],herbivore-macroalgae
turf[2],-0.013,0.164,-0.125,0.097,0.004,0.003,2090.0,1726.0,1.0,turf[2],invertivore-mobile
turf[3],-0.212,0.17,-0.329,-0.103,0.003,0.002,2380.0,2211.0,1.0,turf[3],piscivore
turf[4],-0.202,0.165,-0.331,-0.107,0.004,0.003,1802.0,2199.0,1.0,turf[4],planktivore
turf[5],-0.168,0.183,-0.316,-0.065,0.005,0.003,1671.0,2132.0,1.0,turf[5],omnivore
rubble[0],-0.376,0.163,-0.461,-0.243,0.004,0.003,1918.0,2294.0,1.0,rubble[0],herbivore-detritivore
rubble[1],-0.128,0.2,-0.231,0.028,0.004,0.003,3175.0,2573.0,1.0,rubble[1],herbivore-macroalgae
rubble[2],-0.025,0.178,-0.125,0.117,0.004,0.003,2121.0,2376.0,1.0,rubble[2],invertivore-mobile
rubble[3],-0.289,0.189,-0.409,-0.155,0.004,0.003,2061.0,1777.0,1.0,rubble[3],piscivore
rubble[4],0.293,0.172,0.193,0.429,0.004,0.003,1618.0,2240.0,1.0,rubble[4],planktivore
rubble[5],-0.148,0.17,-0.256,-0.036,0.004,0.003,2311.0,2425.0,1.0,rubble[5],omnivore
population[0],0.307,0.166,0.201,0.425,0.004,0.003,1740.0,2069.0,1.0,population[0],herbivore-detritivore
population[1],-0.067,0.197,-0.182,0.08,0.003,0.003,3243.0,2487.0,1.0,population[1],herbivore-macroalgae
population[2],0.137,0.177,0.012,0.239,0.004,0.003,2152.0,2294.0,1.0,population[2],invertivore-mobile
population[3],-0.063,0.196,-0.217,0.045,0.004,0.004,2617.0,2073.0,1.0,population[3],piscivore
population[4],-0.4,0.2,-0.569,-0.302,0.005,0.003,1715.0,2375.0,1.0,population[4],planktivore
population[5],0.286,0.177,0.149,0.386,0.004,0.003,2502.0,2319.0,1.0,population[5],omnivore
gravity[0],-0.024,0.142,-0.106,0.082,0.003,0.002,2218.0,2141.0,1.0,gravity[0],herbivore-detritivore
gravity[1],0.053,0.182,-0.078,0.166,0.003,0.003,2798.0,2254.0,1.0,gravity[1],herbivore-macroalgae
gravity[2],0.14,0.163,0.023,0.236,0.003,0.003,2563.0,2281.0,1.0,gravity[2],invertivore-mobile
gravity[3],0.15,0.196,0.012,0.273,0.004,0.003,2411.0,2268.0,1.0,gravity[3],piscivore
gravity[4],-0.013,0.182,-0.16,0.087,0.004,0.003,2478.0,2025.0,1.0,gravity[4],planktivore
gravity[5],-0.33,0.177,-0.448,-0.213,0.004,0.003,2057.0,2381.0,1.0,gravity[5],omnivore
