,mean,sd,hdi_25%,hdi_75%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],1.044,0.97,0.354,1.676,0.038,0.027,656.0,1340.0,1.0,intercept[0],herbivore-detritivore
intercept[1],-0.199,1.041,-0.898,0.494,0.046,0.033,513.0,1252.0,1.01,intercept[1],herbivore-macroalgae
intercept[2],0.836,1.023,0.196,1.539,0.043,0.03,577.0,944.0,1.0,intercept[2],invertivore-mobile
intercept[3],0.386,0.984,-0.2,1.11,0.042,0.029,560.0,1110.0,1.0,intercept[3],piscivore
intercept[4],0.825,0.936,0.223,1.464,0.034,0.024,737.0,1650.0,1.0,intercept[4],planktivore
intercept[5],0.198,0.994,-0.499,0.828,0.037,0.026,703.0,1287.0,1.0,intercept[5],omnivore
hard_coral[0],-0.067,0.174,-0.162,0.075,0.004,0.003,1601.0,2123.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],0.055,0.199,-0.073,0.191,0.004,0.003,2562.0,2363.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.202,0.169,-0.311,-0.083,0.004,0.003,1623.0,1554.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.194,0.197,-0.331,-0.064,0.004,0.003,2256.0,2632.0,1.0,hard_coral[3],piscivore
hard_coral[4],0.004,0.164,-0.102,0.116,0.004,0.003,2084.0,2193.0,1.0,hard_coral[4],planktivore
hard_coral[5],0.038,0.179,-0.06,0.179,0.004,0.003,2192.0,2245.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.105,0.144,-0.208,-0.011,0.004,0.003,1662.0,2331.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],0.098,0.167,0.003,0.223,0.003,0.003,2699.0,2304.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],-0.08,0.152,-0.178,0.027,0.003,0.002,1992.0,2152.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.42,0.16,-0.532,-0.323,0.003,0.002,2671.0,2604.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.275,0.14,-0.335,-0.151,0.003,0.002,2353.0,2151.0,1.0,macroalgae[4],planktivore
macroalgae[5],-0.041,0.159,-0.152,0.06,0.003,0.002,2234.0,2418.0,1.0,macroalgae[5],omnivore
bare_sub[0],0.043,0.137,-0.058,0.12,0.003,0.002,1951.0,2167.0,1.0,bare_sub[0],herbivore-detritivore
bare_sub[1],0.07,0.168,-0.009,0.211,0.003,0.003,2669.0,2254.0,1.0,bare_sub[1],herbivore-macroalgae
bare_sub[2],-0.061,0.163,-0.185,0.036,0.003,0.003,2293.0,2159.0,1.0,bare_sub[2],invertivore-mobile
bare_sub[3],-0.104,0.176,-0.202,0.034,0.004,0.003,2324.0,2106.0,1.0,bare_sub[3],piscivore
bare_sub[4],0.139,0.187,0.009,0.259,0.004,0.003,2264.0,2426.0,1.0,bare_sub[4],planktivore
bare_sub[5],0.087,0.153,-0.009,0.189,0.003,0.002,2214.0,2523.0,1.0,bare_sub[5],omnivore
turf[0],0.064,0.157,-0.043,0.172,0.004,0.003,1733.0,2454.0,1.0,turf[0],herbivore-detritivore
turf[1],0.134,0.172,0.019,0.249,0.003,0.003,2810.0,2631.0,1.0,turf[1],herbivore-macroalgae
turf[2],0.014,0.152,-0.076,0.126,0.004,0.003,1827.0,2285.0,1.0,turf[2],invertivore-mobile
turf[3],-0.155,0.167,-0.289,-0.064,0.004,0.003,1905.0,2245.0,1.0,turf[3],piscivore
turf[4],-0.138,0.161,-0.265,-0.05,0.003,0.003,2372.0,2248.0,1.0,turf[4],planktivore
turf[5],0.038,0.164,-0.047,0.167,0.004,0.002,2172.0,2470.0,1.0,turf[5],omnivore
rubble[0],-0.125,0.158,-0.215,0.003,0.004,0.003,1719.0,1992.0,1.0,rubble[0],herbivore-detritivore
rubble[1],0.081,0.187,-0.016,0.229,0.004,0.003,2414.0,2247.0,1.0,rubble[1],herbivore-macroalgae
rubble[2],0.269,0.169,0.15,0.376,0.004,0.003,1651.0,2188.0,1.0,rubble[2],invertivore-mobile
rubble[3],-0.164,0.176,-0.281,-0.049,0.004,0.003,2130.0,2177.0,1.0,rubble[3],piscivore
rubble[4],0.427,0.162,0.34,0.555,0.004,0.003,1712.0,2085.0,1.0,rubble[4],planktivore
rubble[5],0.041,0.161,-0.078,0.135,0.004,0.003,2113.0,2247.0,1.0,rubble[5],omnivore
population[0],0.406,0.159,0.288,0.501,0.003,0.002,2291.0,2180.0,1.0,population[0],herbivore-detritivore
population[1],0.067,0.177,-0.037,0.209,0.003,0.003,2896.0,2372.0,1.0,population[1],herbivore-macroalgae
population[2],0.434,0.166,0.331,0.557,0.004,0.003,2022.0,2325.0,1.0,population[2],invertivore-mobile
population[3],0.094,0.185,-0.019,0.229,0.004,0.003,2259.0,2257.0,1.0,population[3],piscivore
population[4],-0.412,0.186,-0.545,-0.294,0.004,0.003,2013.0,2303.0,1.0,population[4],planktivore
population[5],0.296,0.163,0.183,0.398,0.003,0.002,2900.0,2235.0,1.0,population[5],omnivore
gravity[0],0.076,0.145,-0.032,0.167,0.003,0.002,2008.0,2314.0,1.0,gravity[0],herbivore-detritivore
gravity[1],0.183,0.176,0.071,0.311,0.004,0.003,2229.0,2244.0,1.0,gravity[1],herbivore-macroalgae
gravity[2],0.246,0.153,0.16,0.361,0.003,0.002,1969.0,2125.0,1.0,gravity[2],invertivore-mobile
gravity[3],0.065,0.178,-0.073,0.179,0.004,0.003,2077.0,2388.0,1.0,gravity[3],piscivore
gravity[4],0.309,0.179,0.179,0.419,0.004,0.003,2510.0,2350.0,1.0,gravity[4],planktivore
