,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],1.044,0.97,-0.897,2.857,0.038,0.027,656.0,1340.0,1.0,intercept[0],herbivore-detritivore
intercept[1],-0.199,1.041,-2.187,1.821,0.046,0.033,513.0,1252.0,1.01,intercept[1],herbivore-macroalgae
intercept[2],0.836,1.023,-1.173,2.816,0.043,0.03,577.0,944.0,1.0,intercept[2],invertivore-mobile
intercept[3],0.386,0.984,-1.616,2.245,0.042,0.029,560.0,1110.0,1.0,intercept[3],piscivore
intercept[4],0.825,0.936,-0.985,2.645,0.034,0.024,737.0,1650.0,1.0,intercept[4],planktivore
intercept[5],0.198,0.994,-1.792,2.06,0.037,0.026,703.0,1287.0,1.0,intercept[5],omnivore
hard_coral[0],-0.067,0.174,-0.414,0.249,0.004,0.003,1601.0,2123.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],0.055,0.199,-0.341,0.428,0.004,0.003,2562.0,2363.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.202,0.169,-0.537,0.122,0.004,0.003,1623.0,1554.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.194,0.197,-0.561,0.196,0.004,0.003,2256.0,2632.0,1.0,hard_coral[3],piscivore
hard_coral[4],0.004,0.164,-0.332,0.317,0.004,0.003,2084.0,2193.0,1.0,hard_coral[4],planktivore
hard_coral[5],0.038,0.179,-0.307,0.386,0.004,0.003,2192.0,2245.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.105,0.144,-0.362,0.202,0.004,0.003,1662.0,2331.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],0.098,0.167,-0.214,0.421,0.003,0.003,2699.0,2304.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],-0.08,0.152,-0.385,0.199,0.003,0.002,1992.0,2152.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.42,0.16,-0.743,-0.117,0.003,0.002,2671.0,2604.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.275,0.14,-0.559,-0.008,0.003,0.002,2353.0,2151.0,1.0,macroalgae[4],planktivore
