,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
"β0_manage[2,1]",-0.875,0.855,-2.489,0.827,0.042,0.03,415.0,664.0,1.01,Madagascarno-take,herbivore-macroalgae
"β0_manage[2,2]",0.059,0.863,-1.593,1.734,0.042,0.03,422.0,833.0,1.0,Madagascarno-take,invertivore-mobile
"β0_manage[2,3]",0.579,0.822,-1.013,2.226,0.033,0.023,634.0,1101.0,1.0,Madagascarno-take,piscivore
"β0_manage[2,4]",0.609,0.855,-1.145,2.192,0.047,0.033,333.0,541.0,1.0,Madagascarno-take,planktivore
"β0_manage[2,5]",-0.888,0.842,-2.504,0.694,0.039,0.028,460.0,1052.0,1.0,Madagascarno-take,omnivore
"β0_manage[3,0]",0.451,0.915,-1.451,2.096,0.043,0.031,445.0,1021.0,1.0,Madagascaropen-access,herbivore-detritivore
"β0_manage[3,1]",-1.238,0.934,-2.919,0.664,0.042,0.029,504.0,828.0,1.01,Madagascaropen-access,herbivore-macroalgae
"β0_manage[3,2]",1.601,0.936,-0.237,3.45,0.042,0.03,496.0,1185.0,1.0,Madagascaropen-access,invertivore-mobile
"β0_manage[3,3]",0.114,0.894,-1.617,1.906,0.033,0.024,720.0,1384.0,1.0,Madagascaropen-access,piscivore
"β0_manage[3,4]",1.734,0.933,-0.066,3.628,0.047,0.034,386.0,861.0,1.0,Madagascaropen-access,planktivore
"β0_manage[3,5]",-0.975,0.895,-2.67,0.804,0.038,0.027,548.0,882.0,1.0,Madagascaropen-access,omnivore
"β0_manage[4,0]",-0.046,0.811,-1.616,1.521,0.042,0.03,376.0,818.0,1.0,Madagascarrestriction,herbivore-detritivore
"β0_manage[4,1]",-0.743,0.868,-2.459,0.922,0.042,0.03,427.0,641.0,1.01,Madagascarrestriction,herbivore-macroalgae
"β0_manage[4,2]",0.658,0.857,-1.012,2.298,0.041,0.029,429.0,848.0,1.0,Madagascarrestriction,invertivore-mobile
"β0_manage[4,3]",0.763,0.817,-0.815,2.416,0.033,0.023,617.0,1062.0,1.01,Madagascarrestriction,piscivore
"β0_manage[4,4]",1.032,0.842,-0.604,2.671,0.046,0.032,340.0,652.0,1.0,Madagascarrestriction,planktivore
"β0_manage[4,5]",-0.446,0.836,-2.077,1.168,0.04,0.028,443.0,824.0,1.01,Madagascarrestriction,omnivore
"β0_manage[5,0]",-0.002,1.089,-2.177,2.017,0.046,0.032,558.0,1014.0,1.0,Solomon Islandsno-take,herbivore-detritivore
"β0_manage[5,1]",-0.731,1.191,-3.025,1.644,0.047,0.033,646.0,1410.0,1.0,Solomon Islandsno-take,herbivore-macroalgae
"β0_manage[5,2]",0.187,1.073,-1.894,2.305,0.045,0.032,578.0,1225.0,1.0,Solomon Islandsno-take,invertivore-mobile
"β0_manage[5,3]",0.161,1.072,-1.972,2.166,0.037,0.026,847.0,1530.0,1.0,Solomon Islandsno-take,piscivore
"β0_manage[5,4]",2.162,1.087,0.187,4.359,0.046,0.033,548.0,1178.0,1.0,Solomon Islandsno-take,planktivore
"β0_manage[5,5]",-0.168,1.172,-2.496,2.11,0.045,0.032,686.0,1441.0,1.0,Solomon Islandsno-take,omnivore
"β0_manage[6,0]",-0.109,0.793,-1.687,1.407,0.043,0.03,339.0,810.0,1.01,Solomon Islandsrestriction,herbivore-detritivore
"β0_manage[6,1]",-1.278,0.835,-2.901,0.332,0.041,0.029,417.0,620.0,1.01,Solomon Islandsrestriction,herbivore-macroalgae
"β0_manage[6,2]",0.315,0.838,-1.414,1.832,0.041,0.029,413.0,836.0,1.01,Solomon Islandsrestriction,invertivore-mobile
"β0_manage[6,3]",0.079,0.796,-1.413,1.71,0.032,0.023,623.0,1066.0,1.01,Solomon Islandsrestriction,piscivore
"β0_manage[6,4]",0.982,0.823,-0.777,2.452,0.046,0.032,325.0,640.0,1.0,Solomon Islandsrestriction,planktivore
"β0_manage[6,5]",-1.04,0.815,-2.638,0.538,0.04,0.028,420.0,779.0,1.01,Solomon Islandsrestriction,omnivore
