,mean,sd,hdi_25%,hdi_75%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],0.146,0.946,-0.514,0.733,0.042,0.03,504.0,1315.0,1.0,intercept[0],herbivore-detritivore
intercept[1],-0.912,1.007,-1.385,-0.038,0.041,0.029,612.0,1313.0,1.0,intercept[1],herbivore-macroalgae
intercept[2],0.645,0.992,-0.125,1.25,0.039,0.028,641.0,1546.0,1.0,intercept[2],invertivore-mobile
intercept[3],0.345,0.991,-0.255,1.053,0.032,0.023,930.0,1695.0,1.0,intercept[3],piscivore
intercept[4],0.868,0.998,0.308,1.616,0.047,0.034,449.0,812.0,1.0,intercept[4],planktivore
intercept[5],-0.583,0.981,-1.236,0.047,0.038,0.027,659.0,1315.0,1.0,intercept[5],omnivore
hard_coral[0],-0.035,0.189,-0.153,0.087,0.004,0.003,1996.0,2229.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],0.018,0.211,-0.095,0.181,0.004,0.004,2576.0,2234.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.228,0.171,-0.366,-0.136,0.004,0.003,2260.0,2388.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.125,0.188,-0.274,-0.024,0.004,0.003,2276.0,2278.0,1.0,hard_coral[3],piscivore
hard_coral[4],-0.145,0.179,-0.252,-0.013,0.004,0.003,1868.0,2132.0,1.0,hard_coral[4],planktivore
hard_coral[5],-0.055,0.198,-0.186,0.077,0.004,0.003,2562.0,2369.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.2,0.159,-0.313,-0.106,0.003,0.002,2083.0,2142.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],0.164,0.173,0.05,0.282,0.003,0.003,2478.0,2064.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],-0.041,0.149,-0.126,0.073,0.003,0.002,2416.0,2377.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.382,0.154,-0.489,-0.283,0.003,0.002,2388.0,2453.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.313,0.151,-0.386,-0.181,0.003,0.002,2293.0,2499.0,1.0,macroalgae[4],planktivore
macroalgae[5],0.041,0.173,-0.059,0.179,0.003,0.003,2845.0,2630.0,1.0,macroalgae[5],omnivore
bare_sub[0],-0.19,0.157,-0.275,-0.066,0.003,0.002,3102.0,2424.0,1.0,bare_sub[0],herbivore-detritivore
bare_sub[1],0.016,0.179,-0.12,0.121,0.003,0.003,3829.0,1967.0,1.0,bare_sub[1],herbivore-macroalgae
bare_sub[2],-0.212,0.162,-0.323,-0.104,0.003,0.002,2373.0,2146.0,1.0,bare_sub[2],invertivore-mobile
bare_sub[3],-0.168,0.178,-0.255,-0.018,0.004,0.003,2277.0,2236.0,1.0,bare_sub[3],piscivore
bare_sub[4],-0.005,0.191,-0.102,0.156,0.004,0.003,2171.0,2069.0,1.0,bare_sub[4],planktivore
bare_sub[5],-0.021,0.169,-0.106,0.124,0.003,0.003,2959.0,2358.0,1.0,bare_sub[5],omnivore
turf[0],0.006,0.173,-0.08,0.154,0.004,0.003,2050.0,2233.0,1.0,turf[0],herbivore-detritivore
turf[1],0.055,0.185,-0.04,0.201,0.003,0.003,3103.0,2421.0,1.0,turf[1],herbivore-macroalgae
turf[2],0.151,0.16,0.042,0.261,0.004,0.003,1804.0,1931.0,1.0,turf[2],invertivore-mobile
turf[3],0.007,0.155,-0.077,0.132,0.003,0.002,2309.0,2490.0,1.0,turf[3],piscivore
turf[4],-0.012,0.165,-0.114,0.111,0.004,0.003,2053.0,2043.0,1.0,turf[4],planktivore
turf[5],-0.074,0.184,-0.185,0.064,0.003,0.003,3080.0,2416.0,1.0,turf[5],omnivore
rubble[0],-0.097,0.175,-0.199,0.033,0.004,0.003,2319.0,1785.0,1.0,rubble[0],herbivore-detritivore
rubble[1],-0.013,0.195,-0.137,0.127,0.004,0.003,2741.0,2431.0,1.0,rubble[1],herbivore-macroalgae
rubble[2],0.126,0.173,0.003,0.233,0.004,0.003,1858.0,1977.0,1.0,rubble[2],invertivore-mobile
rubble[3],-0.163,0.173,-0.278,-0.046,0.003,0.002,2501.0,1950.0,1.0,rubble[3],piscivore
rubble[4],0.385,0.168,0.276,0.499,0.004,0.003,1888.0,2096.0,1.0,rubble[4],planktivore
rubble[5],-0.07,0.182,-0.163,0.078,0.003,0.003,2859.0,1899.0,1.0,rubble[5],omnivore
population[0],0.326,0.18,0.182,0.425,0.003,0.002,3348.0,2272.0,1.0,population[0],herbivore-detritivore
population[1],-0.021,0.192,-0.162,0.101,0.003,0.004,4587.0,2176.0,1.0,population[1],herbivore-macroalgae
population[2],0.187,0.17,0.078,0.297,0.004,0.003,2335.0,2344.0,1.0,population[2],invertivore-mobile
population[3],-0.001,0.187,-0.151,0.101,0.004,0.003,2675.0,2260.0,1.0,population[3],piscivore
population[4],-0.244,0.196,-0.36,-0.096,0.004,0.003,2290.0,2399.0,1.0,population[4],planktivore
population[5],0.195,0.191,0.091,0.343,0.003,0.003,3350.0,2244.0,1.0,population[5],omnivore
gravity[0],-0.088,0.163,-0.224,-0.006,0.003,0.003,2708.0,2499.0,1.0,gravity[0],herbivore-detritivore
gravity[1],-0.004,0.178,-0.145,0.092,0.003,0.004,3252.0,2109.0,1.0,gravity[1],herbivore-macroalgae
gravity[2],-0.009,0.151,-0.111,0.089,0.003,0.002,2371.0,2075.0,1.0,gravity[2],invertivore-mobile
gravity[3],-0.222,0.164,-0.332,-0.117,0.003,0.002,2689.0,2215.0,1.0,gravity[3],piscivore
gravity[4],-0.166,0.183,-0.293,-0.046,0.004,0.003,2615.0,2404.0,1.0,gravity[4],planktivore
gravity[5],-0.273,0.191,-0.384,-0.128,0.004,0.003,2931.0,2281.0,1.0,gravity[5],omnivore
sediment[0],0.125,0.193,0.003,0.255,0.004,0.003,2583.0,2483.0,1.0,sediment[0],herbivore-detritivore
sediment[1],0.041,0.2,-0.095,0.171,0.004,0.003,3186.0,2357.0,1.0,sediment[1],herbivore-macroalgae
sediment[2],0.162,0.172,0.046,0.273,0.004,0.003,2153.0,2225.0,1.0,sediment[2],invertivore-mobile
sediment[3],-0.134,0.166,-0.232,-0.019,0.004,0.003,2191.0,2143.0,1.0,sediment[3],piscivore
sediment[4],0.102,0.177,-0.031,0.196,0.004,0.003,2348.0,2319.0,1.0,sediment[4],planktivore
sediment[5],-0.032,0.184,-0.154,0.092,0.004,0.003,2759.0,2267.0,1.0,sediment[5],omnivore
nut_load[0],0.099,0.175,0.001,0.234,0.004,0.003,2118.0,1545.0,1.0,nut_load[0],herbivore-detritivore
nut_load[1],-0.097,0.177,-0.202,0.036,0.003,0.003,3596.0,1987.0,1.0,nut_load[1],herbivore-macroalgae
nut_load[2],-0.069,0.151,-0.154,0.052,0.003,0.002,2432.0,2267.0,1.0,nut_load[2],invertivore-mobile
nut_load[3],0.005,0.167,-0.076,0.143,0.003,0.003,2634.0,1968.0,1.0,nut_load[3],piscivore
nut_load[4],0.306,0.177,0.212,0.45,0.004,0.003,2459.0,2113.0,1.0,nut_load[4],planktivore
nut_load[5],0.034,0.19,-0.075,0.182,0.003,0.003,3096.0,2443.0,1.0,nut_load[5],omnivore
depth[0],0.086,0.159,-0.046,0.169,0.004,0.002,2030.0,2218.0,1.0,depth[0],herbivore-detritivore
depth[1],0.128,0.182,0.007,0.247,0.003,0.003,3333.0,1941.0,1.0,depth[1],herbivore-macroalgae
depth[2],0.033,0.178,-0.093,0.145,0.004,0.003,1641.0,2176.0,1.0,depth[2],invertivore-mobile
depth[3],0.258,0.163,0.134,0.351,0.004,0.003,2133.0,2206.0,1.0,depth[3],piscivore
depth[4],0.417,0.157,0.313,0.517,0.004,0.003,1934.0,2371.0,1.0,depth[4],planktivore
depth[5],0.196,0.174,0.055,0.287,0.003,0.003,2601.0,2239.0,1.0,depth[5],omnivore
"reeftype_x[0,0]",-0.144,0.515,-0.48,0.2,0.018,0.012,857.0,1378.0,1.0,barrier,herbivore-detritivore
"reeftype_x[0,1]",0.125,0.526,-0.19,0.503,0.017,0.012,903.0,1423.0,1.0,barrier,herbivore-macroalgae
"reeftype_x[0,2]",0.125,0.526,-0.212,0.503,0.017,0.012,979.0,1698.0,1.0,barrier,invertivore-mobile
"reeftype_x[0,3]",-0.041,0.519,-0.394,0.31,0.016,0.011,1020.0,1709.0,1.0,barrier,piscivore
"reeftype_x[0,4]",-0.314,0.522,-0.703,-0.016,0.017,0.012,939.0,1634.0,1.0,barrier,planktivore
"reeftype_x[0,5]",0.146,0.535,-0.157,0.547,0.018,0.013,913.0,1441.0,1.0,barrier,omnivore
"reeftype_x[1,0]",0.396,0.504,0.064,0.743,0.017,0.012,835.0,1254.0,1.0,fringing,herbivore-detritivore
"reeftype_x[1,1]",0.314,0.51,-0.024,0.655,0.017,0.012,864.0,1523.0,1.0,fringing,herbivore-macroalgae
"reeftype_x[1,2]",0.637,0.517,0.254,0.957,0.016,0.012,988.0,1646.0,1.0,fringing,invertivore-mobile
"reeftype_x[1,3]",0.3,0.513,-0.029,0.665,0.016,0.012,986.0,1714.0,1.0,fringing,piscivore
"reeftype_x[1,4]",-0.29,0.515,-0.642,0.059,0.018,0.013,826.0,1391.0,1.0,fringing,planktivore
"reeftype_x[1,5]",0.331,0.521,-0.012,0.684,0.018,0.012,877.0,1320.0,1.0,fringing,omnivore
"reeftype_x[2,0]",-0.165,0.633,-0.568,0.297,0.016,0.012,1480.0,1962.0,1.0,lagoon,herbivore-detritivore
"reeftype_x[2,1]",-0.368,0.644,-0.759,0.12,0.017,0.012,1517.0,1960.0,1.0,lagoon,herbivore-macroalgae
"reeftype_x[2,2]",-1.031,0.669,-1.479,-0.567,0.016,0.011,1824.0,2195.0,1.0,lagoon,invertivore-mobile
"reeftype_x[2,3]",0.213,0.635,-0.149,0.69,0.015,0.011,1799.0,2420.0,1.0,lagoon,piscivore
"reeftype_x[2,4]",0.756,0.693,0.244,1.158,0.018,0.013,1454.0,1760.0,1.0,lagoon,planktivore
