,mean,sd,hdi_25%,hdi_75%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],0.726,1.038,0.17,1.525,0.047,0.033,494.0,1143.0,1.0,intercept[0],herbivore-detritivore
intercept[1],-0.429,0.992,-1.16,0.158,0.049,0.035,407.0,1149.0,1.0,intercept[1],herbivore-macroalgae
intercept[2],0.446,0.979,-0.354,0.948,0.041,0.029,574.0,1134.0,1.0,intercept[2],invertivore-mobile
intercept[3],0.216,1.011,-0.473,0.881,0.041,0.029,617.0,1012.0,1.01,intercept[3],piscivore
intercept[4],0.95,0.991,0.206,1.548,0.042,0.03,560.0,1154.0,1.01,intercept[4],planktivore
intercept[5],-0.132,0.984,-0.751,0.56,0.042,0.029,562.0,886.0,1.0,intercept[5],omnivore
hard_coral[0],-0.045,0.181,-0.15,0.094,0.004,0.003,1673.0,2219.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],0.093,0.2,-0.031,0.227,0.004,0.003,2823.0,2643.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.166,0.179,-0.264,-0.025,0.004,0.003,1926.0,2170.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.218,0.196,-0.389,-0.119,0.004,0.003,1961.0,1817.0,1.0,hard_coral[3],piscivore
hard_coral[4],-0.16,0.168,-0.264,-0.04,0.004,0.003,1661.0,2041.0,1.0,hard_coral[4],planktivore
hard_coral[5],-0.044,0.192,-0.168,0.081,0.004,0.003,2771.0,2268.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.071,0.155,-0.157,0.053,0.004,0.003,1784.0,2259.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],0.296,0.165,0.204,0.423,0.003,0.002,3088.0,2377.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],0.004,0.152,-0.082,0.121,0.003,0.002,2102.0,2323.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.427,0.159,-0.52,-0.306,0.003,0.002,2335.0,2485.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.283,0.146,-0.372,-0.178,0.003,0.002,2106.0,2381.0,1.0,macroalgae[4],planktivore
macroalgae[5],0.048,0.171,-0.033,0.198,0.003,0.003,2439.0,2298.0,1.0,macroalgae[5],omnivore
bare_sub[0],-0.046,0.149,-0.135,0.058,0.003,0.002,2655.0,2213.0,1.0,bare_sub[0],herbivore-detritivore
bare_sub[1],0.074,0.177,-0.023,0.216,0.003,0.003,3089.0,2358.0,1.0,bare_sub[1],herbivore-macroalgae
bare_sub[2],-0.078,0.167,-0.21,0.011,0.003,0.002,2806.0,2571.0,1.0,bare_sub[2],invertivore-mobile
bare_sub[3],-0.156,0.176,-0.272,-0.043,0.004,0.003,2479.0,2428.0,1.0,bare_sub[3],piscivore
bare_sub[4],0.087,0.196,-0.028,0.238,0.004,0.003,2669.0,2113.0,1.0,bare_sub[4],planktivore
bare_sub[5],0.062,0.154,-0.045,0.16,0.003,0.002,2639.0,2397.0,1.0,bare_sub[5],omnivore
