,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],0.726,1.038,-1.354,2.72,0.047,0.033,494.0,1143.0,1.0,intercept[0],herbivore-detritivore
intercept[1],-0.429,0.992,-2.356,1.512,0.049,0.035,407.0,1149.0,1.0,intercept[1],herbivore-macroalgae
intercept[2],0.446,0.979,-1.565,2.318,0.041,0.029,574.0,1134.0,1.0,intercept[2],invertivore-mobile
intercept[3],0.216,1.011,-1.758,2.168,0.041,0.029,617.0,1012.0,1.01,intercept[3],piscivore
intercept[4],0.95,0.991,-0.915,2.911,0.042,0.03,560.0,1154.0,1.01,intercept[4],planktivore
intercept[5],-0.132,0.984,-2.097,1.721,0.042,0.029,562.0,886.0,1.0,intercept[5],omnivore
hard_coral[0],-0.045,0.181,-0.402,0.306,0.004,0.003,1673.0,2219.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],0.093,0.2,-0.286,0.499,0.004,0.003,2823.0,2643.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.166,0.179,-0.534,0.163,0.004,0.003,1926.0,2170.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.218,0.196,-0.602,0.15,0.004,0.003,1961.0,1817.0,1.0,hard_coral[3],piscivore
hard_coral[4],-0.16,0.168,-0.493,0.174,0.004,0.003,1661.0,2041.0,1.0,hard_coral[4],planktivore
hard_coral[5],-0.044,0.192,-0.421,0.331,0.004,0.003,2771.0,2268.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.071,0.155,-0.367,0.225,0.004,0.003,1784.0,2259.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],0.296,0.165,-0.041,0.606,0.003,0.002,3088.0,2377.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],0.004,0.152,-0.285,0.31,0.003,0.002,2102.0,2323.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.427,0.159,-0.732,-0.11,0.003,0.002,2335.0,2485.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.283,0.146,-0.559,0.001,0.003,0.002,2106.0,2381.0,1.0,macroalgae[4],planktivore
macroalgae[5],0.048,0.171,-0.278,0.386,0.003,0.003,2439.0,2298.0,1.0,macroalgae[5],omnivore
bare_sub[0],-0.046,0.149,-0.35,0.229,0.003,0.002,2655.0,2213.0,1.0,bare_sub[0],herbivore-detritivore
bare_sub[1],0.074,0.177,-0.284,0.402,0.003,0.003,3089.0,2358.0,1.0,bare_sub[1],herbivore-macroalgae
bare_sub[2],-0.078,0.167,-0.414,0.246,0.003,0.002,2806.0,2571.0,1.0,bare_sub[2],invertivore-mobile
bare_sub[3],-0.156,0.176,-0.508,0.196,0.004,0.003,2479.0,2428.0,1.0,bare_sub[3],piscivore
bare_sub[4],0.087,0.196,-0.294,0.467,0.004,0.003,2669.0,2113.0,1.0,bare_sub[4],planktivore
bare_sub[5],0.062,0.154,-0.243,0.36,0.003,0.002,2639.0,2397.0,1.0,bare_sub[5],omnivore
turf[0],-0.044,0.169,-0.363,0.303,0.004,0.003,1832.0,2175.0,1.0,turf[0],herbivore-detritivore
turf[1],0.068,0.175,-0.249,0.417,0.004,0.003,2471.0,2339.0,1.0,turf[1],herbivore-macroalgae
turf[2],0.007,0.172,-0.338,0.345,0.004,0.003,1804.0,2178.0,1.0,turf[2],invertivore-mobile
turf[3],-0.158,0.163,-0.485,0.15,0.004,0.003,2040.0,2212.0,1.0,turf[3],piscivore
turf[4],-0.256,0.162,-0.558,0.069,0.004,0.003,2040.0,2220.0,1.0,turf[4],planktivore
turf[5],-0.075,0.179,-0.424,0.277,0.004,0.003,2489.0,2232.0,1.0,turf[5],omnivore
rubble[0],-0.199,0.167,-0.534,0.124,0.004,0.003,1733.0,2358.0,1.0,rubble[0],herbivore-detritivore
rubble[1],-0.02,0.19,-0.362,0.373,0.004,0.003,2911.0,2510.0,1.0,rubble[1],herbivore-macroalgae
rubble[2],0.054,0.18,-0.29,0.398,0.004,0.003,1778.0,1937.0,1.0,rubble[2],invertivore-mobile
rubble[3],-0.328,0.18,-0.68,0.028,0.004,0.003,2241.0,2450.0,1.0,rubble[3],piscivore
rubble[4],0.481,0.162,0.17,0.806,0.004,0.003,2040.0,2245.0,1.0,rubble[4],planktivore
rubble[5],-0.113,0.161,-0.424,0.204,0.003,0.002,2865.0,2659.0,1.0,rubble[5],omnivore
population[0],0.265,0.166,-0.056,0.585,0.003,0.002,2502.0,2379.0,1.0,population[0],herbivore-detritivore
population[1],-0.057,0.186,-0.428,0.304,0.003,0.003,3266.0,2257.0,1.0,population[1],herbivore-macroalgae
population[2],0.13,0.179,-0.205,0.489,0.003,0.003,2740.0,2354.0,1.0,population[2],invertivore-mobile
population[3],-0.233,0.182,-0.587,0.115,0.004,0.003,2604.0,2371.0,1.0,population[3],piscivore
population[4],-0.274,0.194,-0.644,0.106,0.004,0.003,2316.0,2055.0,1.0,population[4],planktivore
population[5],0.303,0.169,-0.034,0.633,0.003,0.002,2965.0,2276.0,1.0,population[5],omnivore
gravity[0],-0.009,0.154,-0.296,0.309,0.003,0.002,2467.0,2568.0,1.0,gravity[0],herbivore-detritivore
gravity[1],0.084,0.177,-0.261,0.435,0.003,0.003,2755.0,2301.0,1.0,gravity[1],herbivore-macroalgae
gravity[2],0.197,0.159,-0.118,0.511,0.003,0.002,2438.0,2452.0,1.0,gravity[2],invertivore-mobile
