"mu","lo","hi","X","X_raw","fg","tot","prop","tot_lo","prop_lo","tot_hi","prop_hi","cov"
4.66062256460147,0.884830004367066,33.8626763922219,-1.16227364800796,-3.44249279809434,"herbivore-detritivore",10.7394135202062,0.433973657484414,6.96362095997184,0.127064642009269,39.9414673478267,0.847807520373046,"grav_nc"
4.65818062687504,0.879374914239141,34.0317921021556,-1.14239656668796,-3.39474409878194,"herbivore-detritivore",10.7354712905869,0.433905554845966,6.95666557795099,0.126407530214806,40.1090827658674,0.848480936370762,"grav_nc"
4.65573996860426,0.873953455439446,34.2017524034327,-1.12251948536796,-3.34699539946954,"herbivore-detritivore",10.731591015932,0.433835016792235,6.9498045027672,0.125752235921379,40.2776034507604,0.849150631448182,"grav_nc"
4.65330058911876,0.86856542062654,34.3725615140797,-1.10264240404795,-3.29924670015715,"herbivore-detritivore",10.7277724480407,0.433762051875796,6.94303727954846,0.125098769552196,40.4470333730016,0.84981662801068,"grav_nc"
4.6508624877485,0.863210603737271,34.5442236731885,-1.08276532272795,-3.25149800084475,"herbivore-detritivore",10.7240153407259,0.433686668657236,6.93636345671466,0.124447141376603,40.6173765261659,0.850478948361792,"grav_nc"
4.64842566382384,0.857888799978892,34.7167431410218,-1.06288824140795,-3.20374930153235,"herbivore-detritivore",10.7203194498027,0.433608875704669,6.92978258595775,0.12379736150991,40.7886369270007,0.8511376147027,"grav_nc"
4.64599011667543,0.85259980582123,34.8901241991187,-1.04301116008794,-3.15600060221995,"herbivore-detritivore",10.7166845330762,0.433528681593263,6.92329422222198,0.123149439913243,40.9608186155195,0.851792649131757,"grav_nc"
4.64355584563433,0.847343418988899,35.0643711504012,-1.02313407876794,-3.10825190290755,"herbivore-detritivore",10.7131103503298,0.433446094904771,6.91689792368437,0.122503386393413,41.1339256550966,0.852444073644028,"grav_nc"
4.64112285003191,0.842119438453571,35.2394883192803,-1.00325699744794,-3.06050320359516,"herbivore-detritivore",10.7095966633135,0.433361124227058,6.91059325173521,0.121859210602812,41.307962132562,0.853091910130855,"grav_nc"
4.6386911291999,0.836927664426279,35.4154800517644,-0.983379916127933,-3.01275450428276,"herbivore-detritivore",10.7061432357324,0.43327377815365,6.90437977095873,0.121216922039337,41.4829321582968,0.853736180379455,"grav_nc"
4.63626068247038,0.831767898349783,35.5923507155661,-0.96350283480793,-2.96500580497036,"herbivore-detritivore",10.7027498332345,0.433184065283271,6.89825704911391,0.120576530046329,41.6588398663302,0.854376906072528,"grav_nc"
4.63383150917579,0.826639942890974,35.7701047002114,-0.943625753487927,-2.91725710565796,"herbivore-detritivore",10.6994162234002,0.4330919942194,6.89222465711538,0.11993804381254,41.8356894144358,0.855014108787904,"grav_nc"
4.63140360864892,0.821543601933324,35.948746417148,-0.923748672167924,-2.86950840634556,"herbivore-detritivore",10.6961421757301,0.432997573569819,6.88628216901446,0.119301472372123,42.0134849842292,0.855647809998202,"grav_nc"
4.62897698022288,0.816478680569393,36.1282802998555,-0.90387159084792,-2.82175970703317,"herbivore-detritivore",10.6929274616338,0.432900811946179,6.88042916198035,0.118666824604643,42.1922307812664,0.856278031070512,"grav_nc"
4.62655162323117,0.811444985093367,36.3087108039545,-0.883994509527917,-2.77401100772077,"herbivore-detritivore",10.6897718544192,0.432801717963563,6.87466521628139,0.11803410923511,42.3719310351426,0.856904793266106,"grav_nc"
4.62412753700762,0.806442322993653,36.4900424073182,-0.864117428207914,-2.72626230840837,"herbivore-detritivore",10.6866751292805,0.432700300240059,6.86898991526649,0.117403334834037,42.552589999591,0.857528117740163,"grav_nc"
4.6217047208864,0.801470502945518,36.6722796101827,-0.84424034688791,-2.67851360909597,"herbivore-detritivore",10.6836370632875,0.43259656739633,6.86340284534667,0.116774509817518,42.7342119525838,0.858148025541521,"grav_nc"
4.61928317420204,0.79652933480377,36.855426935259,-0.824363265567907,-2.63076490978357,"herbivore-detritivore",10.680657435375,0.432490528055203,6.85790359597669,0.116147642447332,42.9168011964319,0.858764537612443,"grav_nc"
4.61686289628943,0.791618629595487,37.0394889278455,-0.804486184247904,-2.58301621047118,"herbivore-detritivore",10.6777360263308,0.432382190841248,6.85249175963686,0.115522740831058,43.1003620578869,0.859377674788412,"grav_nc"
4.61444388648378,0.786738199512789,37.2244701559404,-0.784609102927901,-2.53526751115878,"herbivore-detritivore",10.6748726187859,0.432271564380373,6.84716693181489,0.114899812922227,43.2848988882425,0.859987457797937,"grav_nc"
4.61202614412067,0.781887857905653,37.4103752103552,-0.764732021607898,-2.48751881184638,"herbivore-detritivore",10.672066997203,0.432158657299418,6.84192871098796,0.114278866520483,43.4704160634375,0.860593907262384,"grav_nc"
4.60960966853603,0.777067419274782,37.5972087048286,-0.744854940287894,-2.43977011253398,"herbivore-detritivore",10.669318947866,0.432043478225759,6.83677669860478,0.113659909271772,43.6569179841586,0.861197043695828,"grav_nc"
4.60719445906612,0.772276699264501,37.7849752761414,-0.724977858967891,-2.39202141322158,"herbivore-detritivore",10.6666282588695,0.431926035786908,6.8317104990679,0.113042948668546,43.8444090759448,0.861796887504913,"grav_nc"
4.60478051504756,0.767515514655716,37.9736795842308,-0.705100777647888,-2.34427271390919,"herbivore-detritivore",10.6639947201079,0.431806338610131,6.82672971971606,0.112427992049997,44.0328937892912,0.862393458988745,"grav_nc"
4.60236783581731,0.762783683358898,38.1633263123068,-0.685223696327885,-2.29652401459679,"herbivore-detritivore",10.661418123265,0.431684395322059,6.82183397080662,0.1118150466023,44.2223765997545,0.862986778338789,"grav_nc"
