"mu","lo","hi","X","X_raw","coral","coral_raw","fg","tot","prop","tot_lo","prop_lo","tot_hi","prop_hi","cov"
1.24289875315328,0.127031123246781,12.0564395165958,-0.468139215965498,0,1.28491793064369,73,"herbivore-detritivore",7.57125434597436,0.164160216571529,6.45538671606786,0.0196783134510892,18.3847951094168,0.655783186314671,"macroalgae"
1.23635240059802,0.126304892544106,12.0070037891239,-0.438249858964333,0.691919191919192,1.26253483793752,72.2693939393939,"herbivore-detritivore",7.54569021426723,0.16384881508392,6.43564270621332,0.0196258397661145,18.3163416027931,0.655535043487773,"macroalgae"
1.22984052770707,0.125582813666748,11.9577707658705,-0.408360501963167,1.38383838383838,1.24015174523135,71.5387878787879,"herbivore-detritivore",7.52039226370246,0.163534092981154,6.41613454966213,0.0195729707185397,18.2483225018659,0.655280547822838,"macroalgae"
1.2233629528759,0.124864862878924,11.9087396156757,-0.378471144962001,2.07575757575758,1.21776865252518,70.8081818181818,"herbivore-detritivore",7.49535896259348,0.163216059294991,6.39686087259651,0.0195197090206905,18.1807356253933,0.655019679129077,"macroalgae"
1.2169194954565,0.124151016580551,11.8599095107874,-0.348581787960835,2.76767676767677,1.195385559819,70.0775757575758,"herbivore-detritivore",7.47058879189029,0.162894723475817,6.37782031301433,0.0194660574439849,18.1135788072212,0.654752417344458,"macroalgae"
1.21050997575233,0.123441251306461,11.8112796268478,-0.31869243095967,3.45959595959596,1.17300246711283,69.3469696969697,"herbivore-detritivore",7.44608024508942,0.162570095393566,6.35901152064355,0.0194120188186055,18.0468498961849,0.654478742539147,"macroalgae"
1.20413421501331,0.122735543725641,11.7628491428792,-0.288803073958504,4.15151515151515,1.15061937440666,68.6163636363636,"herbivore-detritivore",7.4218318281448,0.162242185338536,6.34043315685712,0.0193575960331517,17.9805467560107,0.654198634918987,"macroalgae"
1.19779203543084,0.122033870640456,11.7146172412701,-0.258913716957338,4.84343434343434,1.12823628170049,67.8857575757576,"herbivore-detritivore",7.39784205937919,0.161911004022078,6.32208389458881,0.0193027920342701,17.9146672652185,0.653912074828997,"macroalgae"
1.19148326013284,0.121336208985893,11.6665831077616,-0.229024359956172,5.53535353535354,1.10585318899431,67.1551515151515,"herbivore-detritivore",7.37410946939647,0.16157656257717,6.30396241824952,0.0192476098262632,17.8492093170253,0.653619042756902,"macroalgae"
1.18520771317881,0.1206425358288,11.6187459314336,-0.199135002955007,6.22727272727273,1.08347009628814,66.4245454545455,"herbivore-detritivore",7.35063260099445,0.161238872558869,6.28606742364444,0.0191920524706773,17.7841708192492,0.653319519336695,"macroalgae"
1.17896521955494,0.119952828367131,11.5711049046909,-0.169245645953841,6.91919191919192,1.06108700358197,65.6939393939394,"herbivore-detritivore",7.32741000907861,0.160897945944639,6.2683976178908,0.0191361230858697,17.7195496942146,0.653013485352219,"macroalgae"
1.1727556051692,0.119267063929201,11.5236592232499,-0.139356288952675,7.61111111111111,1.0387039108758,64.9633333333333,"herbivore-detritivore",7.3044402605763,0.16055379513456,6.2509517193363,0.0190798248465539,17.655343878657,0.652700921740783,"macroalgae"
1.16657869684653,0.118585219972937,11.4764080861248,-0.109466931951509,8.3030303030303,1.01632081816963,64.2327272727273,"herbivore-detritivore",7.28172193435182,0.160206432951408,6.23372845747822,0.0190231609833241,17.5915513236301,0.652381809596801,"macroalgae"
1.16043432232396,0.117907274085137,11.429350695614,-0.0795775749503436,8.99494949494949,0.993937725463454,63.5021212121212,"herbivore-detritivore",7.25925362112206,0.159855872640608,6.21672657288324,0.0189661347821596,17.5281699944121,0.652056130175462,"macroalgae"
1.15432231024584,0.117233203980734,11.382486257287,-0.0496882179491778,9.68686868686869,0.971554632757282,62.7715151515152,"herbivore-detritivore",7.23703392337289,0.159502127870067,6.19994481710779,0.0189087495839071,17.465197870414,0.651723864896421,"macroalgae"
1.14824249015904,0.116562987502066,11.3358139799705,-0.0197988609480121,10.3787878787879,0.94917154005111,62.0409090909091,"herbivore-detritivore",7.21506145527618,0.159145212729874,6.1833819526192,0.0188510087837435,17.4026329450876,0.651384995347519,"macroalgae"
1.14219469250824,0.115896602618142,11.2893330757355,0.0100904960531537,11.0707070707071,0.926788447344938,61.310303030303,"herbivore-detritivore",7.19333484260752,0.158785141731871,6.16703675271742,0.0187929158306173,17.3404732258348,0.651039503288528,"macroalgae"
1.13617874863113,0.115234027423923,11.2430427598837,0.0399798530543194,11.7626262626263,0.904405354638765,60.579696969697,"herbivore-detritivore",7.17185272266456,0.158421929809094,6.15090800145736,0.0187344742266704,17.2787167339171,0.650687370654919,"macroalgae"
1.13019449075376,0.114575240139601,11.1969422509343,0.0698692100554851,12.4545454545455,0.882022261932593,59.8490909090909,"herbivore-detritivore",7.15061374418607,0.158055592315091,6.13499449357191,0.0186756875266392,17.2173615043666,0.650328579561657,"macroalgae"
1.12424175198585,0.11392021910988,11.1510307706109,0.0997585670566509,13.1464646464646,0.859639169226421,59.1184848484848,"herbivore-detritivore",7.12961656727158,0.157686145023095,6.11929503439562,0.0186165593372361,17.1564055858967,0.64996311230702,"macroalgae"
1.11832036631612,0.113268942803267,11.1053075438285,0.129647924057817,13.8383838383838,0.837256076520249,58.3878787878788,"herbivore-detritivore",7.10885986330176,0.15731360412508,6.1038084397889,0.0185570933165105,17.0958470408141,0.649590951376436,"macroalgae"
1.11243016860769,0.112621389811364,11.0597717986798,0.159537281058982,14.530303030303,0.814872983814077,57.6572727272727,"herbivore-detritivore",7.08834231485931,0.156937986230674,6.08853353606298,0.0184972931731913,17.0356839449314,0.649212079446354,"macroalgae"
