,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],1.019,1.008,-0.951,2.965,0.042,0.03,569.0,984.0,1.0,intercept[0],herbivore-detritivore
intercept[1],-0.409,1.018,-2.491,1.487,0.039,0.028,687.0,1274.0,1.01,intercept[1],herbivore-macroalgae
intercept[2],0.323,0.992,-1.673,2.211,0.037,0.026,722.0,1298.0,1.0,intercept[2],invertivore-mobile
intercept[3],-0.13,0.986,-2.084,1.715,0.044,0.031,506.0,1077.0,1.01,intercept[3],piscivore
intercept[4],1.002,0.958,-0.985,2.752,0.038,0.027,641.0,1470.0,1.0,intercept[4],planktivore
intercept[5],-0.307,1.031,-2.355,1.674,0.047,0.033,479.0,773.0,1.01,intercept[5],omnivore
hard_coral[0],-0.054,0.182,-0.391,0.313,0.004,0.003,2173.0,2202.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],0.099,0.195,-0.298,0.472,0.003,0.003,3110.0,2449.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.17,0.185,-0.534,0.18,0.004,0.003,2558.0,2382.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.253,0.208,-0.66,0.155,0.004,0.003,2327.0,2476.0,1.0,hard_coral[3],piscivore
hard_coral[4],-0.177,0.18,-0.517,0.184,0.004,0.003,2104.0,2156.0,1.0,hard_coral[4],planktivore
hard_coral[5],-0.095,0.189,-0.477,0.252,0.004,0.003,2431.0,2444.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.053,0.147,-0.336,0.231,0.003,0.002,2016.0,2015.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],0.336,0.163,0.012,0.65,0.003,0.002,3081.0,2154.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],0.012,0.151,-0.275,0.308,0.003,0.002,2668.0,2598.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.325,0.172,-0.657,0.008,0.003,0.003,2493.0,2284.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.223,0.151,-0.502,0.083,0.003,0.002,2544.0,2371.0,1.0,macroalgae[4],planktivore
