,mean,sd,hdi_25%,hdi_75%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
"country_x[2,1]",-0.008,1.013,-0.64,0.669,0.014,0.024,5439.0,1816.0,1.0,"country_x[2,1]",invertivore_mobile
"country_x[2,2]",-0.002,1.017,-0.735,0.616,0.014,0.022,5175.0,1845.0,1.0,"country_x[2,2]",piscivore
"country_x[2,3]",0.002,0.997,-0.671,0.668,0.013,0.02,5656.0,2048.0,1.0,"country_x[2,3]",omnivore
"country_x[3,0]",-0.009,1.002,-0.69,0.685,0.013,0.02,6202.0,2395.0,1.0,"country_x[3,0]",herbivore
"country_x[3,1]",0.021,1.001,-0.724,0.621,0.014,0.022,5028.0,2030.0,1.0,"country_x[3,1]",invertivore_mobile
"country_x[3,2]",-0.007,0.978,-0.661,0.623,0.012,0.02,6153.0,2006.0,1.0,"country_x[3,2]",piscivore
"country_x[3,3]",0.026,1.024,-0.624,0.74,0.013,0.027,6146.0,1795.0,1.0,"country_x[3,3]",omnivore
"β0_cnc[0,0]",0.247,1.009,-0.515,0.845,0.014,0.019,4978.0,2151.0,1.0,Belize,herbivore
"β0_cnc[0,1]",0.028,0.972,-0.519,0.815,0.013,0.019,5282.0,2019.0,1.0,Belize,invertivore_mobile
"β0_cnc[0,2]",0.196,0.98,-0.519,0.799,0.014,0.02,5123.0,1761.0,1.0,Belize,piscivore
"β0_cnc[0,3]",-0.121,0.967,-0.712,0.563,0.012,0.019,6548.0,2123.0,1.0,Belize,omnivore
"β0_cnc[1,0]",0.005,0.954,-0.816,0.474,0.014,0.019,4886.0,2207.0,1.0,Fiji,herbivore
"β0_cnc[1,1]",0.001,0.976,-0.861,0.477,0.014,0.022,5022.0,1829.0,1.0,Fiji,invertivore_mobile
"β0_cnc[1,2]",-0.102,0.972,-0.607,0.734,0.014,0.02,4687.0,2367.0,1.0,Fiji,piscivore
"β0_cnc[1,3]",0.12,0.98,-0.4,0.88,0.013,0.02,6058.0,2029.0,1.0,Fiji,omnivore
"β0_cnc[2,0]",-0.153,0.981,-0.756,0.532,0.014,0.02,4906.0,2028.0,1.0,Madagascar,herbivore
"β0_cnc[2,1]",-0.051,0.993,-0.579,0.781,0.014,0.02,5474.0,2333.0,1.0,Madagascar,invertivore_mobile
"β0_cnc[2,2]",-0.045,0.941,-0.757,0.478,0.013,0.019,5445.0,2324.0,1.0,Madagascar,piscivore
"β0_cnc[2,3]",-0.069,0.934,-0.723,0.547,0.013,0.018,5209.0,2228.0,1.0,Madagascar,omnivore
"β0_cnc[3,0]",0.006,1.005,-0.512,0.81,0.014,0.02,5116.0,2094.0,1.0,Solomon Islands,herbivore
"β0_cnc[3,1]",0.039,1.023,-0.711,0.628,0.013,0.022,6278.0,2016.0,1.0,Solomon Islands,invertivore_mobile
"β0_cnc[3,2]",-0.027,0.985,-0.758,0.552,0.015,0.021,4246.0,2056.0,1.0,Solomon Islands,piscivore
"β0_cnc[3,3]",0.084,0.992,-0.613,0.675,0.013,0.024,6251.0,1789.0,1.0,Solomon Islands,omnivore
"β0_c[0,0]",2.98,0.221,2.852,3.144,0.005,0.004,2000.0,2273.0,1.0,Belize,herbivore
"β0_c[0,1]",1.018,0.226,0.9,1.206,0.005,0.004,1905.0,2460.0,1.0,Belize,invertivore_mobile
"β0_c[0,2]",1.544,0.223,1.419,1.717,0.005,0.004,2011.0,2227.0,1.0,Belize,piscivore
"β0_c[0,3]",-0.404,0.219,-0.515,-0.23,0.004,0.003,2723.0,2386.0,1.0,Belize,omnivore
"β0_c[1,0]",1.766,0.08,1.711,1.82,0.002,0.001,2327.0,2152.0,1.0,Fiji,herbivore
"β0_c[1,1]",0.924,0.081,0.866,0.978,0.002,0.001,2272.0,2219.0,1.0,Fiji,invertivore_mobile
"β0_c[1,2]",0.079,0.083,0.011,0.124,0.002,0.001,2732.0,2247.0,1.0,Fiji,piscivore
"β0_c[1,3]",0.678,0.081,0.632,0.742,0.002,0.001,2554.0,2376.0,1.0,Fiji,omnivore
"β0_c[2,0]",1.088,0.127,1.011,1.175,0.003,0.002,2002.0,2106.0,1.0,Madagascar,herbivore
"β0_c[2,1]",0.706,0.126,0.638,0.804,0.003,0.002,2053.0,2247.0,1.0,Madagascar,invertivore_mobile
"β0_c[2,2]",0.312,0.129,0.226,0.399,0.003,0.002,2168.0,2262.0,1.0,Madagascar,piscivore
"β0_c[2,3]",-0.093,0.126,-0.163,0.008,0.003,0.002,2192.0,2372.0,1.0,Madagascar,omnivore
"β0_c[3,0]",1.764,0.117,1.679,1.836,0.002,0.002,2517.0,2130.0,1.0,Solomon Islands,herbivore
"β0_c[3,1]",1.061,0.118,0.994,1.153,0.002,0.002,2622.0,2284.0,1.0,Solomon Islands,invertivore_mobile
"β0_c[3,2]",0.421,0.12,0.351,0.509,0.002,0.002,2906.0,2365.0,1.0,Solomon Islands,piscivore
"β0_c[3,3]",0.539,0.118,0.473,0.627,0.002,0.002,2928.0,2299.0,1.0,Solomon Islands,omnivore
